district,counties,democrat,republican,other
1,Denver - Jefferson,17745,10681,0
2,Denver,34158,12757,0
3,Arapahoe,20589,19509,0
4,Denver,25221,7481,0
5,Denver,25293,8385,0
6,Denver,28168,14387,0
7,Denver,26531,6980,0
8,Denver,37153,7388,0
9,Arapahoe - Denver,24724,14088,0
10,Boulder,35455,8652,0
11,Boulder,24012,17077,0
12,Boulder,28894,15988,0
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,30783,15082,0
14,El Paso,12140,30974,0
15,El Paso,11994,24741,0
16,El Paso,13733,23928,0
17,El Paso,11403,10639,0
18,El Paso,20520,17326,0
19,El Paso,10485,38824,0
20,El Paso,14348,25919,0
21,El Paso,9869,15909,0
22,Jefferson,17408,26610,0
23,Jefferson,22485,18933,0
24,Jefferson,22689,18651,0
25,Jefferson,21202,27388,0
26,Eagle - Routt,18038,15208,0
27,Jefferson,21499,26647,0
28,Jefferson,20504,18039,0
29,Jefferson,19843,18796,0
30,Adams,15523,13203,0
31,Adams,17055,15036,0
32,Adams,15684,8673,0
33,Boulder - Broomfield,24440,22732,0
34,Adams,15774,13549,0
35,Adams,19264,16035,0
36,Arapahoe,19049,15467,0
37,Arapahoe,19099,22990,0
38,Arapahoe,21600,27700,0
39,Douglas - Teller,13671,32564,0
40,Arapahoe,20102,16336,0
41,Arapahoe,21254,13106,0
42,Arapahoe,16145,6920,0
43,Douglas,16794,26473,0
44,Douglas,15682,29559,0
45,Douglas,14748,34888,0
46,Pueblo,20684,18152,0
47,Fremont - Otero - Pueblo,16377,19982,0
48,Weld,14102,29625,0
49,Larimer - Weld,20033,35324,0
50,Weld,13242,12334,0
51,Larimer,17674,28240,0
52,Larimer,25097,21035,0
53,Larimer,25029,16633,0
54,Delta - Mesa,10134,27782,0
55,Mesa,13288,24881,0
56,Adams - Arapahoe,16767,28080,0
57,Garfield - Moffat - Rio Blanco,11893,20084,0
58,Dolores - Montezuma - Montrose - San Miguel,12587,22926,0
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,20579,20667,0
60,Chaffee - Custer - Fremont - Park,13734,25333,0
61,Delta - Gunnison - Lake - Pitkin - Summit,21421,18710,0
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,18930,14451,0
63,Weld,15391,28013,0
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,9943,25726,0
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,8018,23455,0
