district,counties,democrat,republican,other
1,Cheyenne - Elbert - Kit Carson - Lincoln - Logan - Morgan - Phillips - Sedgwick - Washington - Weld - Yuma,15965,51705,0
2,Clear Creek - El Paso - Fremont - Park - Teller,21797,47602,0
3,Pueblo,35641,28446,0
4,Douglas,26832,61656,0
5,Chaffee - Delta - Eagle - Gunnison - Hinsdale - Lake - Pitkin,33455,33933,0
6,Archuleta - Dolores - La Plata - Montezuma - Montrose - Ouray - San Juan - San Miguel,30960,41442,0
7,Mesa,22162,49066,0
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,29043,36252,0
9,El Paso,23903,64712,0
10,El Paso,24228,46510,0
11,El Paso,27571,22465,0
12,El Paso,22314,39904,0
13,Weld,25646,33638,0
14,Larimer,46961,35030,0
15,Larimer,33919,50652,0
16,Boulder - Denver - Gilpin - Jefferson,40201,43390,0
17,Boulder,47554,30119,0
18,Boulder,66703,19728,0
19,Jefferson,37507,39437,0
20,Jefferson,43640,45773,0
21,Adams,30965,19978,0
22,Jefferson,37497,37416,0
23,Broomfield - Larimer - Weld,37482,56440,0
24,Adams,34417,35064,0
25,Adams,27959,27583,0
26,Arapahoe,39466,35692,0
27,Arapahoe,36073,43162,0
28,Arapahoe,37451,30909,0
29,Arapahoe,31574,24216,0
30,Douglas,30492,52068,0
31,Arapahoe - Denver,57355,24644,0
32,Denver,49883,23149,0
33,Denver,56572,12616,0
34,Denver,48010,15321,0
35,Alamosa - Baca - Bent - Conejos - Costilla - Crowley - Custer - Huerfano - Kiowa - Las Animas - Mineral - Otero - Prowers - Pueblo - Rio Grande - Saguache,26495,33933,0
