district,counties,democrat,republican,other
1,Adams,97402,76285,11309
2,Alamosa,3695,2894,383
3,Arapahoe,162747,123509,15105
4,Archuleta,2750,4072,430
5,Baca,577,1469,92
6,Bent,810,1034,74
7,Boulder,126334,45755,13731
8,Chaffee,5259,5384,618
9,Cheyenne,220,828,42
10,Clear Creek,2883,2541,451
11,Conejos,2073,1878,105
12,Costilla,1186,547,90
13,Crowley,504,936,78
14,Custer,944,1984,132
15,Delta,4916,10970,875
16,Denver,238774,71078,17441
17,Dolores,338,808,59
18,Douglas,70005,107920,8459
19,Eagle,13707,8772,2340
20,Elbert,3684,11558,671
21,El Paso,113726,183709,19284
22,Fremont,6671,14154,1129
23,Garfield,12039,12596,1566
24,Gilpin,1729,1503,349
25,Grand,3623,4402,541
26,Gunnison,5517,3216,659
27,Hinsdale,246,316,24
28,Huerfano,1942,1694,153
29,Jackson,235,583,36
30,Jefferson,163172,139237,18962
31,Kiowa,196,621,21
32,Kit Carson,894,2607,130
33,Lake,1704,1174,267
34,La Plata,15903,12678,2057
35,Larimer,95789,86101,11976
36,Las Animas,3305,3174,295
37,Lincoln,588,1742,83
38,Logan,2768,6534,364
39,Mesa,24109,48559,4600
40,Mineral,301,326,31
41,Moffat,1338,4786,271
42,Montezuma,4305,7484,810
43,Montrose,6055,13946,985
44,Morgan,3910,7516,448
45,Otero,3651,4561,321
46,Ouray,1735,1397,177
47,Park,3722,5937,718
48,Phillips,695,1570,51
49,Pitkin,6847,2656,517
50,Prowers,1648,3110,187
51,Pueblo,40475,33051,4293
52,Rio Blanco,600,2641,134
53,Rio Grande,2372,2974,227
54,Routt,7793,5265,722
55,Saguache,1570,1042,237
56,San Juan,279,193,26
57,San Miguel,2951,1055,302
58,Sedgwick,426,863,51
59,Summit,9536,5178,1200
60,Teller,4064,9547,719
61,Washington,527,2092,83
62,Weld,52263,74843,7277
63,Yuma,1252,3386,124
64,Broomfield,19431,15077,2109
