district,counties,democrat,republican,other
1,Denver - Jefferson,19287,10345,1605
2,Denver,38679,10599,3121
3,Arapahoe,23644,17270,2312
4,Denver,27402,6634,2148
5,Denver,27273,7289,2442
6,Denver,32908,12304,1834
7,Denver,28108,6501,1390
8,Denver,39829,6135,2697
9,Arapahoe - Denver,27853,12372,2436
10,Boulder,36605,6907,4094
11,Boulder,25824,15593,3160
12,Boulder,31590,14051,3140
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,32835,13509,3940
14,El Paso,13779,30467,2320
15,El Paso,12834,24255,2538
16,El Paso,15030,23394,2567
17,El Paso,11480,10094,2075
18,El Paso,21993,16521,3052
19,El Paso,12206,38465,2337
20,El Paso,16288,25097,2254
21,El Paso,10116,15416,2141
22,Jefferson,20645,24441,2304
23,Jefferson,24354,16675,3018
24,Jefferson,25092,16320,2919
25,Jefferson,24716,24603,2691
26,Eagle - Routt,21500,14037,3062
27,Jefferson,24539,24229,2681
28,Jefferson,22364,16064,2600
29,Jefferson,21367,16825,2739
30,Adams,16031,12444,1754
31,Adams,17724,13869,2151
32,Adams,15608,7921,1639
33,Boulder - Broomfield,27381,19801,2883
34,Adams,16313,12333,2062
35,Adams,20586,14285,2256
36,Arapahoe,20109,14389,1982
37,Arapahoe,22274,21057,1844
38,Arapahoe,26021,25195,2221
39,Douglas - Teller,16546,31463,2154
40,Arapahoe,21300,15116,2358
41,Arapahoe,22813,11804,1919
42,Arapahoe,16281,6389,1503
43,Douglas,20356,25011,1940
44,Douglas,18878,27876,2630
45,Douglas,18289,33117,2454
46,Pueblo,21289,17592,2129
47,Fremont - Otero - Pueblo,17259,19105,2004
48,Weld,16778,28593,2260
49,Larimer - Weld,23334,33532,2907
50,Weld,14151,11603,1938
51,Larimer,20169,26412,2921
52,Larimer,28656,18767,3200
53,Larimer,27598,15043,3456
54,Delta - Mesa,10739,27762,2380
55,Mesa,14732,24383,2505
56,Adams - Arapahoe,18975,26701,2191
57,Garfield - Moffat - Rio Blanco,13977,20023,1971
58,Dolores - Montezuma - Montrose - San Miguel,13649,23293,2156
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,23185,20427,3063
60,Chaffee - Custer - Fremont - Park,15731,25077,2438
61,Delta - Gunnison - Lake - Pitkin - Summit,24886,17837,2884
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,19582,14652,1866
63,Weld,17366,26994,2571
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,11839,25736,1584
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,10165,23304,1210
