district,counties,democrat,republican,other
1,Cheyenne - Elbert - Kit Carson - Lincoln - Logan - Morgan - Phillips - Sedgwick - Washington - Weld - Yuma,19960,51140,2935
2,Clear Creek - El Paso - Fremont - Park - Teller,24152,46592,4436
3,Pueblo,36289,27209,3795
4,Douglas,32745,58700,4717
5,Chaffee - Delta - Eagle - Gunnison - Hinsdale - Lake - Pitkin,38196,32488,5300
6,Archuleta - Dolores - La Plata - Montezuma - Montrose - Ouray - San Juan - San Miguel,34316,41633,4846
7,Mesa,24109,48559,4600
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,35164,35451,4470
9,El Paso,27589,63585,4367
10,El Paso,26630,45570,4660
11,El Paso,28609,21323,4509
12,El Paso,24086,38818,4329
13,Weld,28535,32059,3747
14,Larimer,52678,31439,6211
15,Larimer,38623,47385,5270
16,Boulder - Denver - Gilpin - Jefferson,46132,39111,5187
17,Boulder,51677,27061,5774
18,Boulder,69576,16243,7432
19,Jefferson,41172,35655,4988
20,Jefferson,49350,40805,5478
21,Adams,31041,18420,3525
22,Jefferson,41355,33677,4901
23,Broomfield - Larimer - Weld,42651,52694,5246
24,Adams,37218,31815,4353
25,Adams,29143,26050,3431
26,Arapahoe,44773,31823,4196
27,Arapahoe,42481,39445,3418
28,Arapahoe,40072,28596,4070
29,Arapahoe,32951,22624,3199
30,Douglas,37260,49220,3742
31,Arapahoe - Denver,64195,21203,4896
32,Denver,56753,20147,4281
33,Denver,59966,11358,3480
34,Denver,52303,13334,4288
35,Alamosa - Baca - Bent - Conejos - Costilla - Crowley - Custer - Huerfano - Kiowa - Las Animas - Mineral - Otero - Prowers - Pueblo - Rio Grande - Saguache,28960,34086,2924
