district,counties,democrat,republican,other
1,Adams,134202,95657,6881
2,Alamosa,3759,3813,236
3,Arapahoe,213607,127323,9253
4,Archuleta,3738,5189,217
5,Baca,317,1867,41
6,Bent,732,1503,39
7,Boulder,159089,42501,4521
8,Chaffee,7160,6222,336
9,Cheyenne,131,993,12
10,Clear Creek,3604,2754,190
11,Conejos,1959,2286,88
12,Costilla,1311,741,42
13,Crowley,437,1271,42
14,Custer,1112,2474,49
15,Delta,5887,13081,402
16,Denver,313293,71618,8918
17,Dolores,341,1089,19
18,Douglas,104653,121270,5682
19,Eagle,18588,9892,660
20,Elbert,4490,14027,466
21,El Paso,161941,202828,14082
22,Fremont,7369,17517,671
23,Garfield,15427,14717,760
24,Gilpin,2223,1833,130
25,Grand,4710,4883,277
26,Gunnison,7132,3735,323
27,Hinsdale,255,353,24
28,Huerfano,2076,2203,127
29,Jackson,175,681,20
30,Jefferson,218396,148417,10545
31,Kiowa,98,795,10
32,Kit Carson,662,3144,65
33,Lake,2303,1497,161
34,La Plata,20548,14233,886
35,Larimer,126120,91489,6729
36,Las Animas,3497,4284,180
37,Lincoln,470,2135,46
38,Logan,2218,8087,227
39,Mesa,31536,56894,2193
40,Mineral,317,427,12
41,Moffat,1203,5670,153
42,Montezuma,5836,9306,358
43,Montrose,7687,16770,465
44,Morgan,3876,9593,275
45,Otero,3605,5756,215
46,Ouray,2365,1577,78
47,Park,4903,6991,397
48,Phillips,486,1958,41
49,Pitkin,8989,2780,188
50,Prowers,1458,4008,95
51,Pueblo,43772,42252,2277
52,Rio Blanco,561,3061,69
53,Rio Grande,2495,3660,150
54,Routt,10582,5925,369
55,Saguache,1884,1413,92
56,San Juan,342,202,18
57,San Miguel,3924,1136,87
58,Sedgwick,301,1121,24
59,Summit,12631,5322,526
60,Teller,5278,11241,420
61,Washington,369,2595,44
62,Weld,66060,96145,4769
63,Yuma,785,4107,89
64,Broomfield,29077,16295,1260
