district,counties,democrat,republican,other
1,Denver - Jefferson,24291,11336,973
2,Denver,49766,9010,1454
3,Arapahoe,30932,16877,1315
4,Denver,36751,7217,967
5,Denver,40584,8570,1301
6,Denver,41057,11575,1000
7,Denver,39323,7771,879
8,Denver,49242,5347,1199
9,Arapahoe - Denver,35633,11819,1279
10,Boulder,41837,5876,962
11,Boulder,34910,15056,1342
12,Boulder,42410,13182,1206
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,38411,13895,1195
14,El Paso,22826,33300,2045
15,El Paso,20844,28548,2052
16,El Paso,20291,23704,1766
17,El Paso,15756,11493,1427
18,El Paso,27584,17140,1675
19,El Paso,18973,45712,2026
20,El Paso,21754,24921,1476
21,El Paso,13913,18010,1615
22,Jefferson,26565,25933,1383
23,Jefferson,32432,17763,1565
24,Jefferson,32856,16615,1392
25,Jefferson,32610,25458,1636
26,Eagle - Routt,29170,15817,1029
27,Jefferson,34741,26371,1733
28,Jefferson,29998,17536,1352
29,Jefferson,29066,18648,1481
30,Adams,24471,16374,1189
31,Adams,23443,16689,1318
32,Adams,21473,10396,890
33,Boulder - Broomfield,41310,20938,1693
34,Adams,21577,14668,1211
35,Adams,27947,16474,1269
36,Arapahoe,27786,16354,1267
37,Arapahoe,29798,20460,1313
38,Arapahoe,32720,23900,1545
39,Douglas - Teller,24270,36619,1390
40,Arapahoe,27666,15883,1278
41,Arapahoe,28316,12068,1077
42,Arapahoe,20333,6763,727
43,Douglas,27973,24568,1222
44,Douglas,29176,31549,1741
45,Douglas,28512,39775,1749
46,Pueblo,23180,22045,1145
47,Fremont - Otero - Pueblo,18545,24353,1146
48,Weld,20677,36483,1570
49,Larimer - Weld,33251,42129,2034
50,Weld,15087,13742,1013
51,Larimer,26455,28806,1712
52,Larimer,39635,18443,1794
53,Larimer,32990,12943,1657
54,Delta - Mesa,13474,32825,1011
55,Mesa,19587,28585,1305
56,Adams - Arapahoe,28121,35140,1604
57,Garfield - Moffat - Rio Blanco,17191,23448,982
58,Dolores - Montezuma - Montrose - San Miguel,17788,28301,929
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,30115,23597,1406
60,Chaffee - Custer - Fremont - Park,19602,30304,1362
61,Delta - Gunnison - Lake - Pitkin - Summit,32550,19856,1294
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,20395,19053,1039
63,Weld,24085,35088,1718
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,11868,32485,963
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,8459,29003,733
