district,counties,democrat,republican,other
1,Cheyenne - Elbert - Kit Carson - Lincoln - Logan - Morgan - Phillips - Sedgwick - Washington - Weld - Yuma,19226,64315,1868
2,Clear Creek - El Paso - Fremont - Park - Teller,30471,55880,2748
3,Pueblo,39788,34714,2031
4,Douglas,50691,69484,3162
5,Chaffee - Delta - Eagle - Gunnison - Hinsdale - Lake - Pitkin,50314,37560,2094
6,Archuleta - Dolores - La Plata - Montezuma - Montrose - Ouray - San Juan - San Miguel,44781,49502,2128
7,Mesa,31536,56894,2193
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,45289,40259,2174
9,El Paso,43766,72067,3718
10,El Paso,37442,46485,3375
11,El Paso,37021,23341,2768
12,El Paso,34395,43558,3151
13,Weld,32023,38708,2124
14,Larimer,68160,29059,3280
15,Larimer,50670,53022,3050
16,Boulder - Denver - Gilpin - Jefferson,60461,40206,2709
17,Boulder,71596,26414,2478
18,Boulder,80286,13910,1832
19,Jefferson,55407,38112,2801
20,Jefferson,67529,44005,3180
21,Adams,43259,24238,1996
22,Jefferson,54629,36433,2618
23,Broomfield - Larimer - Weld,64966,66585,3725
24,Adams,50726,37166,2694
25,Adams,40217,34253,2191
26,Arapahoe,58058,31695,2438
27,Arapahoe,54818,37649,2466
28,Arapahoe,52609,30433,2333
29,Arapahoe,44896,26612,1885
30,Douglas,53962,51786,2520
31,Arapahoe - Denver,80163,19901,2334
32,Denver,72520,19353,2294
33,Denver,78558,12030,1862
34,Denver,75078,14939,2137
35,Alamosa - Baca - Bent - Conejos - Costilla - Crowley - Custer - Huerfano - Kiowa - Las Animas - Mineral - Otero - Prowers - Pueblo - Rio Grande - Saguache,29041,44039,1664
