district,counties,democrat,republican,other
1,ADAMS,91442,68357,4275
2,ALAMOSA,2945,2806,135
3,ARAPAHOE,148940,98549,5460
4,ARCHULETA,3243,4247,210
5,BACA,276,1360,66
6,BENT,578,1177,46
7,BOULDER,125025,34081,2999
8,CHAFFEE,6364,4976,271
9,CHEYENNE,106,771,19
10,CLEAR CREEK,2876,2051,170
11,CONEJOS,1594,1735,42
12,COSTILLA,1084,510,38
13,CROWLEY,358,908,46
14,CUSTER,974,2215,83
15,DELTA,5136,10179,381
16,DENVER,221964,53321,5102
17,DOLORES,297,925,44
18,DOUGLAS,80862,102683,3636
19,EAGLE,13348,7851,497
20,ELBERT,3556,12068,328
21,EL PASO,116688,153731,7733
22,FREMONT,6264,13066,518
23,GARFIELD,12175,11113,658
24,GILPIN,1835,1394,116
25,GRAND,3724,3844,211
26,GUNNISON,5717,2967,249
27,HINSDALE,204,270,17
28,HUERFANO,1917,1766,93
29,JACKSON,126,513,21
30,JEFFERSON,171279,119011,6364
31,KIOWA,104,620,12
32,KIT CARSON,441,2424,56
33,LAKE,1694,1093,115
34,LA PLATA,17259,11265,707
35,LARIMER,98518,72402,4050
36,LAS ANIMAS,3073,3326,136
37,LINCOLN,353,1675,57
38,LOGAN,1791,6041,209
39,MESA,27657,42369,2050
40,MINERAL,286,369,22
41,MOFFAT,1000,4207,135
42,MONTEZUMA,4859,7175,317
43,MONTROSE,7054,13021,432
44,MORGAN,2515,7265,229
45,OTERO,2751,4178,189
46,OURAY,2087,1345,69
47,PARK,4107,5475,323
48,PHILLIPS,324,1526,54
49,PITKIN,6785,2277,203
50,PROWERS,1052,3077,89
51,PUEBLO,33282,31285,1622
52,RIO BLANCO,465,2463,71
53,RIO GRANDE,2047,2693,114
54,ROUTT,8252,4832,319
55,SAGUACHE,1530,1132,76
56,SAN JUAN,343,171,10
57,SAN MIGUEL,2991,892,110
58,SEDGWICK,255,826,30
59,SUMMIT,9295,4202,370
60,TELLER,4216,8866,330
61,WASHINGTON,296,1981,56
62,WELD,47978,75572,3125
63,YUMA,609,3194,78
64,BROOMFIELD,22967,13182,736
