district,counties,democrat,republican,other
1,DENVER - JEFFERSON,18651,8753,675
2,DENVER,35723,10460,638
3,ARAPAHOE - DENVER,22615,10751,750
4,DENVER,27780,5628,702
5,DENVER,24722,4734,653
6,DENVER,33518,5352,645
7,DENVER,16505,4085,450
8,DENVER,35875,4448,637
9,ARAPAHOE - DENVER,26222,7917,604
10,BOULDER,31602,3849,547
11,BOULDER,26911,11141,934
12,BOULDER,36323,9737,807
13,CHAFFEE - GRAND - JACKSON - LAKE - PARK - SUMMIT,24784,19693,1292
14,EL PASO,17905,26768,1001
15,EL PASO,12776,17816,970
16,EL PASO,16921,15013,949
17,EL PASO,10154,7214,692
18,EL PASO - TELLER,20102,17070,981
19,BOULDER - WELD,22824,20166,1036
20,EL PASO,13266,31055,1057
21,EL PASO,8674,10978,707
22,EL PASO,15012,20582,1087
23,JEFFERSON,27788,14738,1058
24,ADAMS - JEFFERSON,26397,19016,988
25,JEFFERSON,27295,24483,1000
26,EAGLE - MOFFAT - RIO BLANCO - ROUTT,20443,18269,924
27,JEFFERSON,27419,18360,921
28,JEFFERSON,23472,19580,888
29,ADAMS - JEFFERSON,24771,15593,869
30,JEFFERSON,23186,11594,894
31,ADAMS,13711,8921,697
32,ADAMS,13151,9422,689
33,ADAMS - BROOMFIELD - WELD,26649,17029,860
34,ADAMS,17909,14229,777
35,ADAMS - JEFFERSON,15465,7325,719
36,ADAMS - ARAPAHOE,13897,7417,607
37,ARAPAHOE,23936,17961,685
38,ARAPAHOE - JEFFERSON,26070,20711,970
39,DOUGLAS,20830,28430,882
40,ARAPAHOE,20053,12664,843
41,ARAPAHOE,19404,9628,693
42,ARAPAHOE,12551,4603,460
43,DOUGLAS,23280,22267,790
44,DOUGLAS,17563,23300,894
45,DOUGLAS,17830,27245,1036
46,PUEBLO,19519,17056,866
47,BACA - BENT - CROWLEY - HUERFANO - KIOWA - LAS ANIMAS - OTERO - PROWERS - PUEBLO,13696,22455,936
48,ADAMS - WELD,11946,19529,841
49,BOULDER - CLEAR CREEK - GILPIN - LARIMER,34315,17356,1085
50,WELD,8632,8449,568
51,LARIMER,20931,21833,1089
52,LARIMER,27922,15226,918
53,LARIMER,25937,8152,889
54,DELTA - MESA,13257,28028,1134
55,MESA,17281,21884,1182
56,ADAMS - ARAPAHOE - CHEYENNE - EL PASO - ELBERT - KIT CARSON - LINCOLN,10441,33257,1092
57,EAGLE - GARFIELD - PITKIN,21582,14474,959
58,DELTA - DOLORES - GUNNISON - HINSDALE - MONTEZUMA - MONTROSE - OURAY - SAN MIGUEL,21492,24395,1095
59,ARCHULETA - LA PLATA - MONTEZUMA - SAN JUAN,24817,20519,1185
60,CHAFFEE - CUSTER - FREMONT - PUEBLO - TELLER,14169,28780,1065
61,ARAPAHOE - DOUGLAS,21692,19598,795
62,ALAMOSA - CONEJOS - COSTILLA - HUERFANO - MINERAL - PUEBLO - RIO GRANDE - SAGUACHE,17462,13203,809
63,LOGAN - MORGAN - PHILLIPS - SEDGWICK - WASHINGTON - WELD - YUMA,7226,27085,825
64,LARIMER - WELD,15974,24876,963
65,LARIMER - WELD,18907,28716,1075
