district,counties,democrat,republican,other
1,LOGAN - MORGAN - PHILLIPS - SEDGWICK - WASHINGTON - WELD - YUMA,18018,48419,1509
2,DOUGLAS,32964,47251,1847
3,PUEBLO,33282,31285,1622
4,CHAFFEE - CUSTER - DOUGLAS - FREMONT - JEFFERSON - LAKE - PARK - TELLER,37392,53774,2232
5,DELTA - EAGLE - GARFIELD - GUNNISON - HINSDALE - MONTROSE - PITKIN,37189,35231,1842
6,ALAMOSA - ARCHULETA - CONEJOS - COSTILLA - DOLORES - LA PLATA - MINERAL - MONTEZUMA - MONTROSE - OURAY - RIO GRANDE - SAGUACHE - SAN JUAN - SAN MIGUEL,41112,36890,1949
7,DELTA - MESA,28669,44553,2125
8,CLEAR CREEK - EAGLE - GARFIELD - GILPIN - GRAND - JACKSON - MOFFAT - RIO BLANCO - ROUTT - SUMMIT,39244,32144,1878
9,EL PASO,30600,49090,1906
10,EL PASO,28043,37205,1929
11,EL PASO,21036,17956,1431
12,EL PASO - TELLER,29498,26637,1660
13,ADAMS - WELD,19358,22647,1262
14,LARIMER,48681,19889,1636
15,BOULDER - LARIMER,44850,39379,2050
16,ARAPAHOE - JEFFERSON,47690,40280,1747
17,BOULDER - WELD,54491,23528,1739
18,BOULDER,65467,11485,1178
19,ADAMS - JEFFERSON,47848,32968,1765
20,JEFFERSON,51190,38714,1831
21,ADAMS - ARAPAHOE,26237,20962,1438
22,JEFFERSON,47037,22114,1751
23,LARIMER - WELD,33282,46106,1891
24,ADAMS,30592,24336,1395
25,ADAMS - BROOMFIELD - WELD,44036,26853,1529
26,ARAPAHOE - DENVER - JEFFERSON,42522,22506,1280
27,ARAPAHOE - DOUGLAS,39169,32206,1432
28,ADAMS - ARAPAHOE,25246,12584,1055
29,ARAPAHOE,33129,17084,1269
30,DOUGLAS,42586,45214,1541
31,DENVER,65747,13488,1188
32,ARAPAHOE - DENVER - JEFFERSON,45099,14251,1230
33,DENVER,45899,7725,949
34,DENVER,49843,9914,1299
35,BACA - BENT - CHEYENNE - CROWLEY - EL PASO - ELBERT - HUERFANO - KIOWA - KIT CARSON - LAS ANIMAS - LINCOLN - OTERO - PROWERS,22087,56198,1944
