district,counties,democrat,republican,other
1,ADAMS,89487,66804,6391
2,ALAMOSA,2630,2820,219
3,ARAPAHOE,144753,96211,8174
4,ARCHULETA,3059,4153,309
5,BACA,254,1328,66
6,BENT,530,1157,77
7,BOULDER,120698,34137,4497
8,CHAFFEE,6021,4877,442
9,CHEYENNE,93,772,25
10,CLEAR CREEK,2721,2022,258
11,CONEJOS,1496,1757,88
12,COSTILLA,1010,517,67
13,CROWLEY,315,940,69
14,CUSTER,918,2193,117
15,DELTA,4522,10172,651
16,DENVER,214472,51956,7467
17,DOLORES,277,899,52
18,DOUGLAS,78540,100010,5537
19,EAGLE,12422,7799,721
20,ELBERT,3393,11901,519
21,EL PASO,112270,152799,10371
22,FREMONT,5824,13034,705
23,GARFIELD,11384,11010,990
24,GILPIN,1776,1378,139
25,GRAND,3466,3771,355
26,GUNNISON,5427,2914,328
27,HINSDALE,185,268,24
28,HUERFANO,1793,1742,151
29,JACKSON,114,487,32
30,JEFFERSON,164559,116217,10125
31,KIOWA,70,626,15
32,KIT CARSON,382,2425,80
33,LAKE,1636,1056,142
34,LA PLATA,16212,11148,1104
35,LARIMER,94971,71482,6130
36,LAS ANIMAS,2882,3283,252
37,LINCOLN,297,1660,65
38,LOGAN,1559,6007,343
39,MESA,24765,41864,4333
40,MINERAL,261,375,19
41,MOFFAT,899,4124,230
42,MONTEZUMA,4613,7126,448
43,MONTROSE,6273,13147,745
44,MORGAN,2322,7167,365
45,OTERO,2561,4244,225
46,OURAY,1999,1304,119
47,PARK,3879,5406,486
48,PHILLIPS,296,1509,67
49,PITKIN,6408,2235,306
50,PROWERS,1019,2983,151
51,PUEBLO,32150,31250,2489
52,RIO BLANCO,430,2395,104
53,RIO GRANDE,1825,2754,194
54,ROUTT,7805,4735,479
55,SAGUACHE,1425,1115,127
56,SAN JUAN,319,163,26
57,SAN MIGUEL,2806,895,188
58,SEDGWICK,219,832,47
59,SUMMIT,8552,4031,846
60,TELLER,4049,8822,418
61,WASHINGTON,257,1963,90
62,WELD,45825,74077,4689
63,YUMA,553,3124,99
64,BROOMFIELD,22427,12931,1084
