district,counties,democrat,republican,other
1,DENVER - JEFFERSON,18086,8551,958
2,DENVER,33962,10386,1046
3,ARAPAHOE - DENVER,21545,10727,1088
4,DENVER,26964,5361,1001
5,DENVER,24229,4377,883
6,DENVER,32443,5256,919
7,DENVER,16239,3950,601
8,DENVER,34782,4282,943
9,ARAPAHOE - DENVER,25090,7792,982
10,BOULDER,30626,3819,846
11,BOULDER,26087,11163,1312
12,BOULDER,34989,9808,1229
13,CHAFFEE - GRAND - JACKSON - LAKE - PARK - SUMMIT,23164,19222,2273
14,EL PASO,17379,26476,1311
15,EL PASO,12400,17720,1250
16,EL PASO,16175,14985,1293
17,EL PASO,9913,7179,937
18,EL PASO - TELLER,19282,16914,1418
19,BOULDER - WELD,21950,19792,1566
20,EL PASO,12721,30779,1437
21,EL PASO,8321,11040,925
22,EL PASO,14415,20389,1429
23,JEFFERSON,26652,14469,1662
24,ADAMS - JEFFERSON,25432,18526,1600
25,JEFFERSON,26178,23869,1559
26,EAGLE - MOFFAT - RIO BLANCO - ROUTT,19064,18015,1399
27,JEFFERSON,26317,17856,1510
28,JEFFERSON,22576,19112,1380
29,ADAMS - JEFFERSON,23970,15306,1337
30,JEFFERSON,22285,11377,1448
31,ADAMS,13495,8717,964
32,ADAMS,12900,9178,1037
33,ADAMS - BROOMFIELD - WELD,26000,16692,1303
34,ADAMS,17671,13741,1191
35,ADAMS - JEFFERSON,15026,7236,1067
36,ADAMS - ARAPAHOE,13643,7223,870
37,ARAPAHOE,23131,17563,1056
38,ARAPAHOE - JEFFERSON,25217,20139,1532
39,DOUGLAS,20081,27795,1399
40,ARAPAHOE,19635,12299,1219
41,ARAPAHOE,18762,9520,1047
42,ARAPAHOE,12280,4501,664
43,DOUGLAS,22639,21669,1213
44,DOUGLAS,17161,22556,1351
45,DOUGLAS,17333,26592,1525
46,PUEBLO,18724,17111,1381
47,BACA - BENT - CROWLEY - HUERFANO - KIOWA - LAS ANIMAS - OTERO - PROWERS - PUEBLO,12885,22328,1394
48,ADAMS - WELD,11544,19155,1242
49,BOULDER - CLEAR CREEK - GILPIN - LARIMER,32830,17246,1691
50,WELD,8336,8245,791
51,LARIMER,20026,21602,1677
52,LARIMER,27084,14978,1420
53,LARIMER,25223,8009,1280
54,DELTA - MESA,11594,27816,2346
55,MESA,15628,21562,2447
56,ADAMS - ARAPAHOE - CHEYENNE - EL PASO - ELBERT - KIT CARSON - LINCOLN,9795,33046,1555
57,EAGLE - GARFIELD - PITKIN,20284,14283,1431
58,DELTA - DOLORES - GUNNISON - HINSDALE - MONTEZUMA - MONTROSE - OURAY - SAN MIGUEL,19869,24398,1751
59,ARCHULETA - LA PLATA - MONTEZUMA - SAN JUAN,23366,20277,1783
60,CHAFFEE - CUSTER - FREMONT - PUEBLO - TELLER,13378,28653,1461
61,ARAPAHOE - DOUGLAS,21322,19003,1218
62,ALAMOSA - CONEJOS - COSTILLA - HUERFANO - MINERAL - PUEBLO - RIO GRANDE - SAGUACHE,16518,13249,1243
63,LOGAN - MORGAN - PHILLIPS - SEDGWICK - WASHINGTON - WELD - YUMA,6536,26767,1274
64,LARIMER - WELD,15083,24405,1525
65,LARIMER - WELD,18120,28251,1581
