district,counties,democrat,republican,other
1,LOGAN - MORGAN - PHILLIPS - SEDGWICK - WASHINGTON - WELD - YUMA,16735,47655,2368
2,DOUGLAS,32130,45915,2757
3,PUEBLO,32150,31250,2489
4,CHAFFEE - CUSTER - DOUGLAS - FREMONT - JEFFERSON - LAKE - PARK - TELLER,35444,53085,3302
5,DELTA - EAGLE - GARFIELD - GUNNISON - HINSDALE - MONTROSE - PITKIN,34466,35104,2858
6,ALAMOSA - ARCHULETA - CONEJOS - COSTILLA - DOLORES - LA PLATA - MINERAL - MONTEZUMA - MONTROSE - OURAY - RIO GRANDE - SAGUACHE - SAN JUAN - SAN MIGUEL,38393,36693,3046
7,DELTA - MESA,25643,44047,4461
8,CLEAR CREEK - EAGLE - GARFIELD - GILPIN - GRAND - JACKSON - MOFFAT - RIO BLANCO - ROUTT - SUMMIT,36579,31534,3136
9,EL PASO,29640,48520,2489
10,EL PASO,26926,36959,2616
11,EL PASO,20335,17895,1909
12,EL PASO - TELLER,28318,26642,2252
13,ADAMS - WELD,18716,22188,1820
14,LARIMER,47240,19620,2417
15,BOULDER - LARIMER,42936,38948,3170
16,ARAPAHOE - JEFFERSON,46137,39275,2684
17,BOULDER - WELD,52653,23424,2564
18,BOULDER,63177,11557,1818
19,ADAMS - JEFFERSON,46062,32156,2859
20,JEFFERSON,49057,37820,2924
21,ADAMS - ARAPAHOE,25598,20606,2136
22,JEFFERSON,45238,21621,2756
23,LARIMER - WELD,31902,45272,2831
24,ADAMS,30097,23616,2086
25,ADAMS - BROOMFIELD - WELD,42895,26371,2302
26,ARAPAHOE - DENVER - JEFFERSON,40645,22291,1900
27,ARAPAHOE - DOUGLAS,38410,31254,2180
28,ADAMS - ARAPAHOE,24738,12284,1507
29,ARAPAHOE,32209,16755,1858
30,DOUGLAS,41369,44024,2364
31,DENVER,63058,13314,1842
32,ARAPAHOE - DENVER - JEFFERSON,43497,13951,1811
33,DENVER,44709,7487,1350
34,DENVER,48602,9321,1809
35,BACA - BENT - CHEYENNE - CROWLEY - EL PASO - ELBERT - HUERFANO - KIOWA - KIT CARSON - LAS ANIMAS - LINCOLN - OTERO - PROWERS,20651,55849,2800
