district,counties,democrat,republican,other
1,ADAMS,99625,63960,4039
2,ALAMOSA,3022,2674,225
3,ARAPAHOE,162304,89656,5166
4,ARCHULETA,3641,3961,208
5,BACA,298,1103,346
6,BENT,627,1091,112
7,BOULDER,132173,30454,2450
8,CHAFFEE,6807,4646,296
9,CHEYENNE,115,758,42
10,CLEAR CREEK,3118,1919,143
11,CONEJOS,1659,1702,89
12,COSTILLA,1120,507,49
13,CROWLEY,405,861,112
14,CUSTER,1140,2103,98
15,DELTA,5651,9753,513
16,DENVER,234250,46046,4128
17,DOLORES,348,806,145
18,DOUGLAS,93022,94312,3356
19,EAGLE,15230,6661,331
20,ELBERT,4118,11618,541
21,EL PASO,133447,144384,7196
22,FREMONT,7165,12087,713
23,GARFIELD,13443,10444,651
24,GILPIN,2023,1302,92
25,GRAND,4162,3649,195
26,GUNNISON,6184,2733,218
27,HINSDALE,246,251,14
28,HUERFANO,2102,1656,101
29,JACKSON,140,526,16
30,JEFFERSON,185398,108638,6129
31,KIOWA,99,562,98
32,KIT CARSON,475,2465,86
33,LAKE,1899,991,85
34,LA PLATA,18350,10689,665
35,LARIMER,105588,66749,3991
36,LAS ANIMAS,3411,3071,209
37,LINCOLN,390,1608,102
38,LOGAN,1860,5925,471
39,MESA,30571,40376,2604
40,MINERAL,320,362,26
41,MOFFAT,1058,4174,186
42,MONTEZUMA,5187,6772,561
43,MONTROSE,7529,12835,536
44,MORGAN,2679,7090,385
45,OTERO,2951,4053,242
46,OURAY,2242,1255,69
47,PARK,4463,5271,316
48,PHILLIPS,384,1519,66
49,PITKIN,7565,1907,104
50,PROWERS,1139,2847,300
51,PUEBLO,36602,28645,2265
52,RIO BLANCO,507,2408,138
53,RIO GRANDE,2140,2485,330
54,ROUTT,9238,4415,220
55,SAGUACHE,1580,1061,125
56,SAN JUAN,372,154,14
57,SAN MIGUEL,3199,815,72
58,SEDGWICK,312,807,43
59,SUMMIT,10383,3650,243
60,TELLER,4843,8430,277
61,WASHINGTON,314,1971,104
62,WELD,52186,72542,3755
63,YUMA,656,3079,229
64,BROOMFIELD,25006,11796,678
