district,counties,democrat,republican,other
1,DENVER - JEFFERSON,19862,8086,582
2,DENVER,38233,8776,511
3,ARAPAHOE - DENVER,24242,9774,659
4,DENVER,29497,4721,533
5,DENVER,26115,3951,528
6,DENVER,34896,4503,519
7,DENVER,17353,3636,337
8,DENVER,37458,3555,504
9,ARAPAHOE - DENVER,27607,7060,546
10,BOULDER,32932,3304,470
11,BOULDER,28672,10173,817
12,BOULDER,38607,8518,613
13,CHAFFEE - GRAND - JACKSON - LAKE - PARK - SUMMIT,27281,18362,1126
14,EL PASO,20709,25141,919
15,EL PASO,14793,16661,900
16,EL PASO,18887,14062,817
17,EL PASO,11272,6563,666
18,EL PASO - TELLER,22392,15990,817
19,BOULDER - WELD,24913,18855,971
20,EL PASO,15813,29615,976
21,EL PASO,10032,10053,724
22,EL PASO,17303,19417,946
23,JEFFERSON,29658,13485,966
24,ADAMS - JEFFERSON,28603,17341,983
25,JEFFERSON,30157,22391,905
26,EAGLE - MOFFAT - RIO BLANCO - ROUTT,23132,16731,817
27,JEFFERSON,29701,16606,943
28,JEFFERSON,25696,17840,892
29,ADAMS - JEFFERSON,26748,14348,798
30,JEFFERSON,24673,10576,820
31,ADAMS,14950,8342,606
32,ADAMS,14390,8830,657
33,ADAMS - BROOMFIELD - WELD,29080,15413,821
34,ADAMS,19668,13277,741
35,ADAMS - JEFFERSON,16687,6774,599
36,ADAMS - ARAPAHOE,14832,6720,552
37,ARAPAHOE,26652,16050,591
38,ARAPAHOE - JEFFERSON,28627,19034,905
39,DOUGLAS,23975,26202,837
40,ARAPAHOE,21752,11544,840
41,ARAPAHOE,20683,8760,678
42,ARAPAHOE,13138,4260,435
43,DOUGLAS,26463,20177,644
44,DOUGLAS,20264,21472,858
45,DOUGLAS,20750,25173,983
46,PUEBLO,21393,15601,1209
47,BACA - BENT - CROWLEY - HUERFANO - KIOWA - LAS ANIMAS - OTERO - PROWERS - PUEBLO,15122,20824,1930
48,ADAMS - WELD,13067,18732,1122
49,BOULDER - CLEAR CREEK - GILPIN - LARIMER,36352,16050,977
50,WELD,9183,8128,588
51,LARIMER,22789,20286,1195
52,LARIMER,29860,13739,861
53,LARIMER,27170,7339,760
54,DELTA - MESA,14606,26897,1587
55,MESA,19201,20697,1380
56,ADAMS - ARAPAHOE - CHEYENNE - EL PASO - ELBERT - KIT CARSON - LINCOLN,11884,32041,1654
57,EAGLE - GARFIELD - PITKIN,23909,13278,813
58,DELTA - DOLORES - GUNNISON - HINSDALE - MONTEZUMA - MONTROSE - OURAY - SAN MIGUEL,23129,23403,1396
59,ARCHULETA - LA PLATA - MONTEZUMA - SAN JUAN,26584,19403,1256
60,CHAFFEE - CUSTER - FREMONT - PUEBLO - TELLER,16300,26848,1330
61,ARAPAHOE - DOUGLAS,24407,17710,751
62,ALAMOSA - CONEJOS - COSTILLA - HUERFANO - MINERAL - PUEBLO - RIO GRANDE - SAGUACHE,18370,12393,1273
63,LOGAN - MORGAN - PHILLIPS - SEDGWICK - WASHINGTON - WELD - YUMA,7730,26502,1583
64,LARIMER - WELD,17398,23811,1127
65,LARIMER - WELD,20879,27236,1165
