district,counties,democrat,republican,other
1,LOGAN - MORGAN - PHILLIPS - SEDGWICK - WASHINGTON - WELD - YUMA,19480,47066,2555
2,DOUGLAS,38173,43647,1768
3,PUEBLO,36602,28645,2265
4,CHAFFEE - CUSTER - DOUGLAS - FREMONT - JEFFERSON - LAKE - PARK - TELLER,41589,50491,2364
5,DELTA - EAGLE - GARFIELD - GUNNISON - HINSDALE - MONTROSE - PITKIN,40745,33347,1846
6,ALAMOSA - ARCHULETA - CONEJOS - COSTILLA - DOLORES - LA PLATA - MINERAL - MONTEZUMA - MONTROSE - OURAY - RIO GRANDE - SAGUACHE - SAN JUAN - SAN MIGUEL,43759,34863,2652
7,DELTA - MESA,31693,42475,2688
8,CLEAR CREEK - EAGLE - GARFIELD - GILPIN - GRAND - JACKSON - MOFFAT - RIO BLANCO - ROUTT - SUMMIT,44031,29561,1596
9,EL PASO,35553,46354,1649
10,EL PASO,32222,35037,1719
11,EL PASO,23547,16492,1365
12,EL PASO - TELLER,33117,24749,1456
13,ADAMS - WELD,20918,21679,1430
14,LARIMER,51320,17968,1467
15,BOULDER - LARIMER,48165,36721,2111
16,ARAPAHOE - JEFFERSON,52735,36812,1633
17,BOULDER - WELD,58316,21331,1460
18,BOULDER,68854,9895,951
19,ADAMS - JEFFERSON,51619,30179,1757
20,JEFFERSON,55789,35157,1790
21,ADAMS - ARAPAHOE,28508,19812,1414
22,JEFFERSON,50082,20069,1620
23,LARIMER - WELD,36685,43616,2011
24,ADAMS,33614,22752,1313
25,ADAMS - BROOMFIELD - WELD,47890,24493,1364
26,ARAPAHOE - DENVER - JEFFERSON,45906,20334,1108
27,ARAPAHOE - DOUGLAS,43626,29143,1359
28,ADAMS - ARAPAHOE,26813,11524,988
29,ARAPAHOE,35365,15595,1239
30,DOUGLAS,48818,40975,1315
31,DENVER,69213,11209,963
32,ARAPAHOE - DENVER - JEFFERSON,47715,12759,1046
33,DENVER,48083,6505,727
34,DENVER,52787,8335,1022
35,BACA - BENT - CHEYENNE - CROWLEY - EL PASO - ELBERT - HUERFANO - KIOWA - KIT CARSON - LAS ANIMAS - LINCOLN - OTERO - PROWERS,25149,53450,3298
