district,counties,democrat,republican,other
1,ADAMS,93937,67217,5371
2,ALAMOSA,2843,2826,208
3,ARAPAHOE,151301,96977,6724
4,ARCHULETA,3288,4065,303
5,BACA,353,1286,91
6,BENT,572,1129,95
7,BOULDER,125266,34571,3458
8,CHAFFEE,6391,4825,337
9,CHEYENNE,117,772,23
10,CLEAR CREEK,2884,2029,162
11,CONEJOS,1556,1726,110
12,COSTILLA,1073,518,62
13,CROWLEY,386,914,62
14,CUSTER,1040,2154,116
15,DELTA,5245,10096,522
16,DENVER,221962,54838,5876
17,DOLORES,319,881,76
18,DOUGLAS,83690,100341,4565
19,EAGLE,13541,7763,546
20,ELBERT,3817,11876,512
21,EL PASO,121991,151345,9099
22,FREMONT,6501,12564,702
23,GARFIELD,12506,10969,785
24,GILPIN,1862,1421,105
25,GRAND,3822,3814,256
26,GUNNISON,5768,2966,279
27,HINSDALE,217,269,22
28,HUERFANO,1993,1705,126
29,JACKSON,142,499,30
30,JEFFERSON,169953,119457,8084
31,KIOWA,104,611,31
32,KIT CARSON,503,2417,80
33,LAKE,1746,1073,125
34,LA PLATA,16599,11352,901
35,LARIMER,99661,70307,4868
36,LAS ANIMAS,3199,3188,215
37,LINCOLN,372,1643,81
38,LOGAN,1873,6051,305
39,MESA,28625,41415,2721
40,MINERAL,293,374,31
41,MOFFAT,1016,4094,192
42,MONTEZUMA,4742,6957,482
43,MONTROSE,7117,12790,560
44,MORGAN,2651,7100,368
45,OTERO,2938,4048,230
46,OURAY,2103,1341,89
47,PARK,4193,5374,406
48,PHILLIPS,370,1484,97
49,PITKIN,6846,2193,182
50,PROWERS,1132,2918,180
51,PUEBLO,35097,29636,2174
52,RIO BLANCO,492,2399,103
53,RIO GRANDE,1998,2667,194
54,ROUTT,8489,4778,339
55,SAGUACHE,1516,1089,136
56,SAN JUAN,343,172,18
57,SAN MIGUEL,3013,909,102
58,SEDGWICK,285,820,35
59,SUMMIT,9342,4087,427
60,TELLER,4408,8642,440
61,WASHINGTON,326,1979,88
62,WELD,49625,73602,4230
63,YUMA,680,3120,133
64,BROOMFIELD,23007,13139,866
