district,counties,democrat,republican,other
1,DENVER - JEFFERSON,18898,8642,837
2,DENVER,35413,11048,696
3,ARAPAHOE - DENVER,22599,10884,898
4,DENVER,27835,5867,776
5,DENVER,24739,4855,772
6,DENVER,33384,5632,722
7,DENVER,16768,3952,513
8,DENVER,35771,4809,730
9,ARAPAHOE - DENVER,26168,8078,736
10,BOULDER,31477,4085,672
11,BOULDER,27112,11110,1091
12,BOULDER,36385,9936,893
13,CHAFFEE - GRAND - JACKSON - LAKE - PARK - SUMMIT,25102,19276,1559
14,EL PASO,18721,26526,1137
15,EL PASO,13521,17362,1137
16,EL PASO,17424,14895,1131
17,EL PASO,10477,6991,881
18,EL PASO - TELLER,20648,17062,1075
19,BOULDER - WELD,23310,19746,1305
20,EL PASO,14166,30617,1229
21,EL PASO,9158,10641,842
22,EL PASO,15786,20219,1258
23,JEFFERSON,27385,15123,1263
24,ADAMS - JEFFERSON,26192,19091,1279
25,JEFFERSON,27333,24363,1209
26,EAGLE - MOFFAT - RIO BLANCO - ROUTT,20887,17964,1079
27,JEFFERSON,27094,18508,1166
28,JEFFERSON,23393,19501,1166
29,ADAMS - JEFFERSON,24945,15527,1078
30,JEFFERSON,22858,11736,1184
31,ADAMS,14108,8735,853
32,ADAMS,13571,9183,881
33,ADAMS - BROOMFIELD - WELD,26810,16942,1020
34,ADAMS,18460,13996,949
35,ADAMS - JEFFERSON,15703,7258,923
36,ADAMS - ARAPAHOE,14208,7111,760
37,ARAPAHOE,24213,17869,811
38,ARAPAHOE - JEFFERSON,26302,20647,1216
39,DOUGLAS,21504,27925,1071
40,ARAPAHOE,20513,12281,1048
41,ARAPAHOE,19655,9416,867
42,ARAPAHOE,12641,4536,586
43,DOUGLAS,23952,21821,956
44,DOUGLAS,18278,22601,1175
45,DOUGLAS,18551,26577,1329
46,PUEBLO,20571,16119,1158
47,BACA - BENT - CROWLEY - HUERFANO - KIOWA - LAS ANIMAS - OTERO - PROWERS - PUEBLO,14530,21570,1392
48,ADAMS - WELD,12542,18953,1179
49,BOULDER - CLEAR CREEK - GILPIN - LARIMER,34470,17171,1187
50,WELD,8804,8202,751
51,LARIMER,21415,21100,1449
52,LARIMER,28121,14844,1084
53,LARIMER,25938,7971,984
54,DELTA - MESA,13740,27420,1609
55,MESA,17850,21452,1488
56,ADAMS - ARAPAHOE - CHEYENNE - EL PASO - ELBERT - KIT CARSON - LINCOLN,11214,32659,1542
57,EAGLE - GARFIELD - PITKIN,22003,14232,1068
58,DELTA - DOLORES - GUNNISON - HINSDALE - MONTEZUMA - MONTROSE - OURAY - SAN MIGUEL,21704,24034,1396
59,ARCHULETA - LA PLATA - MONTEZUMA - SAN JUAN,24085,20307,1582
60,CHAFFEE - CUSTER - FREMONT - PUEBLO - TELLER,14907,27783,1433
61,ARAPAHOE - DOUGLAS,22462,19029,979
62,ALAMOSA - CONEJOS - COSTILLA - HUERFANO - MINERAL - PUEBLO - RIO GRANDE - SAGUACHE,17518,12914,1242
63,LOGAN - MORGAN - PHILLIPS - SEDGWICK - WASHINGTON - WELD - YUMA,7714,26663,1279
64,LARIMER - WELD,16514,24217,1259
65,LARIMER - WELD,19520,27998,1316
