district,counties,democrat,republican,other
1,LOGAN - MORGAN - PHILLIPS - SEDGWICK - WASHINGTON - WELD - YUMA,18986,47382,2265
2,DOUGLAS,34297,45975,2394
3,PUEBLO,35097,29636,2174
4,CHAFFEE - CUSTER - DOUGLAS - FREMONT - JEFFERSON - LAKE - PARK - TELLER,38146,52607,2845
5,DELTA - EAGLE - GARFIELD - GUNNISON - HINSDALE - MONTROSE - PITKIN,37771,34743,2187
6,ALAMOSA - ARCHULETA - CONEJOS - COSTILLA - DOLORES - LA PLATA - MINERAL - MONTEZUMA - MONTROSE - OURAY - RIO GRANDE - SAGUACHE - SAN JUAN - SAN MIGUEL,40232,36474,2796
7,DELTA - MESA,29673,43588,2808
8,CLEAR CREEK - EAGLE - GARFIELD - GILPIN - GRAND - JACKSON - MOFFAT - RIO BLANCO - ROUTT - SUMMIT,39924,31654,2152
9,EL PASO,32135,48590,2095
10,EL PASO,29457,36530,2265
11,EL PASO,21785,17475,1775
12,EL PASO - TELLER,30472,26424,1861
13,ADAMS - WELD,20012,21975,1708
14,LARIMER,48745,19491,1840
15,BOULDER - LARIMER,45644,38192,2549
16,ARAPAHOE - JEFFERSON,48153,40031,2197
17,BOULDER - WELD,54882,23438,2040
18,BOULDER,65350,11958,1374
19,ADAMS - JEFFERSON,47532,32954,2341
20,JEFFERSON,50868,38812,2268
21,ADAMS - ARAPAHOE,26933,20589,1868
22,JEFFERSON,46280,22660,2185
23,LARIMER - WELD,34318,44921,2367
24,ADAMS,31570,23881,1715
25,ADAMS - BROOMFIELD - WELD,44457,26759,1832
26,ARAPAHOE - DENVER - JEFFERSON,42635,22612,1532
27,ARAPAHOE - DOUGLAS,40315,31372,1762
28,ADAMS - ARAPAHOE,25683,12161,1332
29,ARAPAHOE,33618,16682,1579
30,DOUGLAS,43931,44258,1856
31,DENVER,65310,14245,1355
32,ARAPAHOE - DENVER - JEFFERSON,45217,14493,1424
33,DENVER,46058,7922,1078
34,DENVER,49916,10260,1488
35,BACA - BENT - CHEYENNE - CROWLEY - EL PASO - ELBERT - HUERFANO - KIOWA - KIT CARSON - LAS ANIMAS - LINCOLN - OTERO - PROWERS,23638,54838,2829
