district,counties,democrat,republican,other
1,ADAMS,91273,66531,6901
2,ALAMOSA,2758,2742,250
3,ARAPAHOE,146297,98126,7518
4,ARCHULETA,3135,4093,285
5,BACA,314,1296,69
6,BENT,566,1123,83
7,BOULDER,122075,35292,4081
8,CHAFFEE,6147,4796,384
9,CHEYENNE,107,757,21
10,CLEAR CREEK,2798,2054,219
11,CONEJOS,1507,1727,146
12,COSTILLA,1006,493,117
13,CROWLEY,361,892,68
14,CUSTER,1006,2164,110
15,DELTA,4876,10133,547
16,DENVER,212508,54162,7566
17,DOLORES,310,891,58
18,DOUGLAS,78875,101807,4924
19,EAGLE,12664,7972,743
20,ELBERT,3509,11771,475
21,EL PASO,113492,153352,9782
22,FREMONT,6155,12631,702
23,GARFIELD,11866,11029,1012
24,GILPIN,1818,1389,144
25,GRAND,3603,3802,363
26,GUNNISON,5441,3049,333
27,HINSDALE,185,273,22
28,HUERFANO,1871,1722,186
29,JACKSON,132,494,29
30,JEFFERSON,164956,118425,9469
31,KIOWA,101,601,19
32,KIT CARSON,488,2312,89
33,LAKE,1706,1029,168
34,LA PLATA,16382,11334,1126
35,LARIMER,96852,72077,5424
36,LAS ANIMAS,3041,3198,268
37,LINCOLN,363,1624,85
38,LOGAN,1807,5899,305
39,MESA,25504,42828,3064
40,MINERAL,278,359,23
41,MOFFAT,974,4068,206
42,MONTEZUMA,4715,7141,438
43,MONTROSE,6480,13287,666
44,MORGAN,2561,6988,342
45,OTERO,2749,4071,326
46,OURAY,2053,1337,93
47,PARK,4030,5433,436
48,PHILLIPS,361,1460,67
49,PITKIN,6529,2354,301
50,PROWERS,1107,2903,147
51,PUEBLO,32672,30235,2941
52,RIO BLANCO,469,2365,100
53,RIO GRANDE,1920,2665,253
54,ROUTT,7919,4824,461
55,SAGUACHE,1456,1075,124
56,SAN JUAN,334,164,19
57,SAN MIGUEL,2888,935,142
58,SEDGWICK,255,794,45
59,SUMMIT,8639,4084,550
60,TELLER,4149,8810,390
61,WASHINGTON,316,1913,89
62,WELD,48788,72829,4359
63,YUMA,713,3041,118
64,BROOMFIELD,22495,13312,979
