district,counties,democrat,republican,other
1,DENVER - JEFFERSON,18095,8431,1075
2,DENVER,33799,11015,920
3,ARAPAHOE - DENVER,21721,10971,1016
4,DENVER,26143,5965,1086
5,DENVER,23471,4920,984
6,DENVER,32335,5484,901
7,DENVER,16048,3919,701
8,DENVER,34527,4596,899
9,ARAPAHOE - DENVER,25368,7906,880
10,BOULDER,30890,4147,766
11,BOULDER,26337,11336,1272
12,BOULDER,35366,10197,1086
13,CHAFFEE - GRAND - JACKSON - LAKE - PARK - SUMMIT,23742,19245,1902
14,EL PASO,17312,26910,1235
15,EL PASO,12519,17643,1252
16,EL PASO,16459,14969,1228
17,EL PASO,9977,7105,947
18,EL PASO - TELLER,19450,17207,1227
19,BOULDER - WELD,22282,20037,1424
20,EL PASO,12835,30994,1290
21,EL PASO,8500,10855,941
22,EL PASO,14618,20533,1303
23,JEFFERSON,26832,14668,1552
24,ADAMS - JEFFERSON,25379,19098,1403
25,JEFFERSON,26291,24339,1463
26,EAGLE - MOFFAT - RIO BLANCO - ROUTT,19517,18138,1376
27,JEFFERSON,26218,18507,1356
28,JEFFERSON,22718,19298,1327
29,ADAMS - JEFFERSON,24147,15492,1299
30,JEFFERSON,22384,11394,1452
31,ADAMS,13722,8656,1092
32,ADAMS,13125,9090,1161
33,ADAMS - BROOMFIELD - WELD,26154,17095,1192
34,ADAMS,18004,13779,1233
35,ADAMS - JEFFERSON,15249,7182,1204
36,ADAMS - ARAPAHOE,13801,7223,861
37,ARAPAHOE,23193,18147,913
38,ARAPAHOE - JEFFERSON,25376,20700,1373
39,DOUGLAS,20216,28382,1154
40,ARAPAHOE,19868,12448,1159
41,ARAPAHOE,19274,9420,959
42,ARAPAHOE,12459,4512,661
43,DOUGLAS,22640,22209,1058
44,DOUGLAS,17183,22941,1266
45,DOUGLAS,17499,26845,1406
46,PUEBLO,19194,16409,1626
47,BACA - BENT - CROWLEY - HUERFANO - KIOWA - LAS ANIMAS - OTERO - PROWERS - PUEBLO,13667,21674,1583
48,ADAMS - WELD,12135,18749,1406
49,BOULDER - CLEAR CREEK - GILPIN - LARIMER,33601,17508,1434
50,WELD,9134,7806,699
51,LARIMER,20670,21595,1506
52,LARIMER,27472,15183,1252
53,LARIMER,25427,8296,1141
54,DELTA - MESA,12207,28111,1735
55,MESA,16006,22205,1721
56,ADAMS - ARAPAHOE - CHEYENNE - EL PASO - ELBERT - KIT CARSON - LINCOLN,10439,32528,1510
57,EAGLE - GARFIELD - PITKIN,20904,14474,1447
58,DELTA - DOLORES - GUNNISON - HINSDALE - MONTEZUMA - MONTROSE - OURAY - SAN MIGUEL,20383,24744,1558
59,ARCHULETA - LA PLATA - MONTEZUMA - SAN JUAN,23707,20405,1779
60,CHAFFEE - CUSTER - FREMONT - PUEBLO - TELLER,13986,28111,1439
61,ARAPAHOE - DOUGLAS,21454,19439,1067
62,ALAMOSA - CONEJOS - COSTILLA - HUERFANO - MINERAL - PUEBLO - RIO GRANDE - SAGUACHE,16675,12901,1602
63,LOGAN - MORGAN - PHILLIPS - SEDGWICK - WASHINGTON - WELD - YUMA,7559,26086,1223
64,LARIMER - WELD,16444,23792,1342
65,LARIMER - WELD,18598,28373,1445
