district,counties,democrat,republican,other
1,LOGAN - MORGAN - PHILLIPS - SEDGWICK - WASHINGTON - WELD - YUMA,18920,46349,2241
2,DOUGLAS,32296,46533,2549
3,PUEBLO,32672,30235,2941
4,CHAFFEE - CUSTER - DOUGLAS - FREMONT - JEFFERSON - LAKE - PARK - TELLER,36446,52880,3004
5,DELTA - EAGLE - GARFIELD - GUNNISON - HINSDALE - MONTROSE - PITKIN,35487,35543,2749
6,ALAMOSA - ARCHULETA - CONEJOS - COSTILLA - DOLORES - LA PLATA - MINERAL - MONTEZUMA - MONTROSE - OURAY - RIO GRANDE - SAGUACHE - SAN JUAN - SAN MIGUEL,39225,36629,3149
7,DELTA - MESA,26484,44992,3155
8,CLEAR CREEK - EAGLE - GARFIELD - GILPIN - GRAND - JACKSON - MOFFAT - RIO BLANCO - ROUTT - SUMMIT,37443,31797,2781
9,EL PASO,29557,49290,2335
10,EL PASO,27433,36951,2408
11,EL PASO,20568,17768,1903
12,EL PASO - TELLER,28627,26721,2139
13,ADAMS - WELD,20103,21357,1841
14,LARIMER,47782,20052,2140
15,BOULDER - LARIMER,44148,39144,2779
16,ARAPAHOE - JEFFERSON,46471,40148,2467
17,BOULDER - WELD,53195,23912,2391
18,BOULDER,63841,12237,1618
19,ADAMS - JEFFERSON,45938,33025,2593
20,JEFFERSON,49404,38319,2729
21,ADAMS - ARAPAHOE,26089,20405,2403
22,JEFFERSON,45243,22091,2661
23,LARIMER - WELD,32706,45447,2560
24,ADAMS,30661,23648,2222
25,ADAMS - BROOMFIELD - WELD,43391,26788,2205
26,ARAPAHOE - DENVER - JEFFERSON,41013,22683,1777
27,ARAPAHOE - DOUGLAS,38653,32006,1911
28,ADAMS - ARAPAHOE,25065,12296,1496
29,ARAPAHOE,32895,16699,1770
30,DOUGLAS,41411,45079,2069
31,DENVER,62834,14158,1686
32,ARAPAHOE - DENVER - JEFFERSON,43420,14181,1845
33,DENVER,44333,7682,1402
34,DENVER,47057,10395,2018
35,BACA - BENT - CHEYENNE - CROWLEY - EL PASO - ELBERT - HUERFANO - KIOWA - KIT CARSON - LAS ANIMAS - LINCOLN - OTERO - PROWERS,21894,54897,2833
