Precinct,Times Cast,"Registered 
Voters",,Undervotes,Overvotes,"Renee L. Reif
(DEM) ",,"Mark Flutcher
(REP) ",,,Total Votes
4355621500,310,475,,10,0,49,,251,,,300
4355621501,669,1048,,27,0,109,,533,,,642
4355621502,704,1064,,22,0,93,,589,,,682
4355621524,1290,1765,,46,0,188,,1056,,,1244
4355621527,8,16,,****,****,****,****,****,,****,****
4355621554,115,197,,4,0,29,,82,,,111
4355621560,977,1625,,19,0,156,,802,,,958
5091421101,1123,1698,,68,0,459,,596,,,1055
5091421102,1447,1778,,92,0,650,,705,,,1355
5091421103,1277,1848,,80,0,524,,673,,,1197
5091421104,1521,2149,,101,0,669,,751,,,1420
5091421116,1402,1731,,80,0,475,,847,,,1322
5091421201,1425,1824,,90,0,401,,934,,,1335
5091421202,1342,1737,,76,1,406,,859,,,1265
5091421203,1188,1536,,70,0,389,,729,,,1118
5091421204,1268,1685,,72,0,444,,752,,,1196
5091421205,1286,1906,,85,0,487,,714,,,1201
5091421206,871,1320,,67,0,403,,401,,,804
5091421207,535,818,,38,0,204,,293,,,497
5091421208,1245,1697,,75,0,481,,689,,,1170
5091421215,884,1216,,57,0,203,,624,,,827
5091421216,1364,2214,,65,0,499,,800,,,1299
5091421217,1063,1382,,57,0,301,,705,,,1006
5091421220,1586,2366,,98,0,540,,948,,,1488
5091421221,1340,1983,,63,0,383,,894,,,1277
5091421222,819,1190,,49,0,239,,531,,,770
5091421223,1532,2214,,94,0,485,,953,,,1438
5091421224,1188,1806,,68,0,401,,719,,,1120
5091421225,1230,1755,,72,0,404,,754,,,1158
5091421226,649,1031,,23,0,243,,383,,,626
5091421227,1367,2023,,82,1,376,,908,,,1284
5091421228,712,1119,,45,0,197,,470,,,667
5091421229,997,1307,,63,0,363,,571,,,934
5091421230,1324,1833,,88,0,364,,872,,,1236
5091421231,1235,1830,,72,0,386,,777,,,1163
5091421232,1129,1652,,60,0,334,,735,,,1069
5091421233,1244,1782,,85,0,401,,758,,,1159
5091421234,1267,1724,,89,0,395,,783,,,1178
5091421239,1113,1759,,57,0,373,,683,,,1056
5091421240,1151,1744,,55,0,372,,724,,,1096
5091421244,808,1293,,46,0,233,,529,,,762
5091421245,1271,1731,,70,0,406,,795,,,1201
5091421248,942,1227,,68,0,304,,570,,,874
5091421249,904,1329,,54,0,290,,560,,,850
5091421250,1061,1674,,70,0,362,,629,,,991
5091421254,383,875,,19,0,179,,185,,,364
5091421256,1028,1441,,58,0,341,,629,,,970
5091421445,987,1759,,62,0,403,,522,,,925
5091521253,410,673,,20,0,130,,260,,,390
5091521454,911,1645,,57,0,311,,543,,,854
5091521455,369,594,,23,0,114,,232,,,346
5091521456,416,706,,14,0,159,,243,,,402
5091821089,558,890,,60,0,260,,238,,,498
5091821105,1353,1595,,71,0,357,,925,,,1282
5091821106,1100,1753,,65,0,463,,572,,,1035
5091821109,154,234,,5,0,78,,71,,,149
5091821117,1001,1615,,62,0,443,,496,,,939
5091821748,358,452,,20,0,121,,217,,,338
5092021200,234,732,,15,0,81,,138,,,219
5092021209,1217,1620,,69,0,336,,812,,,1148
5092021210,1217,1685,,57,0,325,,835,,,1160
5092021211,1061,1541,,52,0,323,,686,,,1009
5092021212,1326,1744,,62,0,311,,953,,,1264
5092021301,808,1002,,41,0,255,,512,,,767
5092021302,1584,2079,,117,0,551,,916,,,1467
5092021303,1503,2054,,97,0,431,,975,,,1406
5092021304,1147,1618,,69,0,349,,729,,,1078
5092021310,1466,1883,,88,0,400,,978,,,1378
5092021311,1569,2003,,89,0,403,,1077,,,1480
5092021312,1561,1945,,108,1,437,,1015,,,1452
5092021313,1162,1671,,70,0,308,,784,,,1092
5092021314,1192,1521,,74,0,298,,820,,,1118
5092021315,1133,1453,,76,0,317,,740,,,1057
5092021316,1141,1426,,56,0,262,,823,,,1085
5092021317,1580,2042,,88,0,455,,1037,,,1492
5092021318,1897,2395,,132,0,454,,1311,,,1765
5092021319,1237,1782,,83,0,378,,776,,,1154
5092021323,555,731,,22,0,122,,411,,,533
5092221235,1273,1869,,93,0,414,,766,,,1180
5092221236,840,1214,,45,0,298,,497,,,795
5092221237,855,1386,,50,0,316,,489,,,805
5092221238,844,1324,,58,0,312,,474,,,786
5092221241,1297,1990,,58,0,440,,799,,,1239
5092221246,773,1347,,45,0,308,,420,,,728
5092221247,772,1195,,55,0,289,,428,,,717
5101421088,254,689,,7,0,133,,114,,,247
5101421097,36,92,,3,0,18,,15,,,33
5101421242,426,750,,20,0,141,,265,,,406
5101521401,1197,2030,,64,0,400,,733,,,1133
5101521402,1212,2139,,74,0,456,,682,,,1138
5101521403,1189,1778,,56,0,353,,780,,,1133
5101521404,886,1803,,44,1,350,,491,,,841
5101521405,909,1488,,47,0,307,,555,,,862
5101521406,1070,1805,,66,0,382,,622,,,1004
5101521407,1149,1799,,66,0,405,,678,,,1083
5101521408,1414,2116,,69,0,506,,839,,,1345
5101521409,1107,1698,,50,0,376,,681,,,1057
5101521410,1120,1821,,65,0,401,,654,,,1055
5101521411,1315,2085,,67,0,510,,738,,,1248
5101521412,842,1377,,42,0,296,,504,,,800
5101521413,1185,1967,,65,0,515,,605,,,1120
5101521416,980,1684,,47,1,349,,583,,,932
5101521417,962,1617,,49,0,386,,527,,,913
5101521419,840,1480,,40,1,369,,430,,,799
5101521420,891,1564,,47,0,321,,523,,,844
5101521423,1032,1582,,59,0,350,,623,,,973
5101521424,1344,2340,,75,0,512,,757,,,1269
5101521426,852,1307,,43,0,224,,585,,,809
5101521427,952,1576,,50,0,336,,566,,,902
5101621091,559,993,,36,0,227,,296,,,523
5101621094,59,97,,3,0,23,,33,,,56
5101621099,511,915,,28,0,239,,244,,,483
5101621120,836,1173,,45,0,324,,467,,,791
5101621121,1270,1884,,92,0,404,,774,,,1178
5101621122,841,1469,,52,0,358,,431,,,789
5101621123,701,1252,,39,0,313,,349,,,662
5101621124,486,798,,26,0,203,,257,,,460
5101621125,1299,1918,,97,1,514,,687,,,1201
5101621126,685,1206,,42,0,318,,325,,,643
5101621127,786,1189,,54,0,315,,417,,,732
5101621128,1327,1834,,79,0,490,,758,,,1248
5101621129,1077,2089,,69,0,522,,486,,,1008
5101621130,903,1414,,77,0,381,,445,,,826
5101621131,1121,1741,,83,0,469,,569,,,1038
5101621132,1110,1597,,79,0,444,,587,,,1031
5101621136,936,1328,,58,0,323,,555,,,878
5101621138,632,945,,48,0,237,,347,,,584
5101821003,0,0,,0,0,0,,0,,,0
5102221134,737,1219,,53,0,294,,390,,,684
5102221135,416,725,,25,0,185,,206,,,391
5102221140,1085,1586,,80,0,376,,629,,,1005
5102221141,999,1601,,68,0,355,,576,,,931
5102221142,1399,1983,,108,0,476,,815,,,1291
5102221143,824,1166,,71,0,249,,504,,,753
5102221144,1044,1500,,83,0,357,,604,,,961
5102221145,1288,1943,,85,0,420,,783,,,1203
5102221146,686,1005,,40,0,214,,432,,,646
5102221147,948,1573,,62,0,374,,512,,,886
5102221148,1307,2107,,109,0,508,,690,,,1198
5102221149,1245,1756,,69,0,435,,741,,,1176
5102221150,1139,1591,,76,0,310,,753,,,1063
5102221151,1372,2083,,84,0,510,,778,,,1288
5102221152,538,886,,28,0,204,,306,,,510
5102221153,1266,1882,,108,0,421,,737,,,1158
5102221154,999,1989,,70,0,457,,472,,,929
5102221155,836,1400,,47,0,350,,439,,,789
5102221156,720,1055,,60,0,231,,429,,,660
5102221157,1036,1646,,64,0,383,,589,,,972
5102221158,1160,1695,,70,0,410,,680,,,1090
5102221159,245,370,,15,0,77,,153,,,230
5102221160,1129,1856,,84,0,450,,595,,,1045
5102221161,1420,1951,,97,0,447,,876,,,1323
5102221163,833,1504,,46,0,354,,433,,,787
5102221164,1037,1722,,69,0,402,,566,,,968
5102221165,1379,1941,,76,0,434,,869,,,1303
5102221166,949,1917,,76,0,382,,491,,,873
5102221167,1080,1663,,65,0,405,,610,,,1015
5102221243,1175,1970,,80,0,469,,626,,,1095
5102221251,254,430,,17,0,81,,156,,,237
5102221252,918,1544,,56,0,321,,541,,,862
5105621002,0,0,,0,0,0,,0,,,0
5111521090,35,74,,3,0,16,,16,,,32
5111521139,687,1468,,27,0,304,,356,,,660
5111521195,779,1585,,47,1,323,,408,,,731
5111521414,783,1452,,40,0,278,,465,,,743
5111521415,848,1608,,60,1,340,,447,,,787
5111521418,851,1474,,58,0,296,,497,,,793
5111521421,662,1325,,36,0,255,,371,,,626
5111521422,639,1226,,39,0,255,,345,,,600
5111521650,893,2013,,43,0,341,,509,,,850
5111521651,928,2284,,44,0,422,,462,,,884
5111521655,703,1795,,40,0,299,,364,,,663
5111621162,818,1270,,48,0,246,,524,,,770
5111621174,551,1047,,35,0,262,,254,,,516
5111621175,674,1148,,41,0,285,,348,,,633
5111621178,570,1011,,41,0,343,,186,,,529
5111621180,907,1903,,49,0,463,,395,,,858
5111621181,129,213,,9,0,52,,68,,,120
5111621183,474,977,,27,0,228,,219,,,447
5111621184,516,1450,,42,0,261,,213,,,474
5111621186,922,1823,,63,0,493,,366,,,859
5111621188,878,1659,,53,0,475,,350,,,825
5111621190,456,1025,,27,0,232,,197,,,429
5111621191,1153,1912,,67,0,433,,653,,,1086
5111621192,1074,2046,,60,0,437,,577,,,1014
5111621197,724,1092,,58,0,344,,322,,,666
5111621198,556,1084,,42,0,251,,263,,,514
5111621901,361,752,,15,0,155,,191,,,346
5111721137,386,959,,20,0,189,,177,,,366
5111721169,789,1618,,43,1,464,,281,,,745
5111721182,714,1619,,38,0,410,,266,,,676
5111721185,804,1677,,67,0,498,,239,,,737
5111721187,814,1682,,58,0,375,,381,,,756
5111721193,584,1239,,40,0,238,,306,,,544
5111721194,506,1241,,24,0,273,,209,,,482
5111721196,99,372,,3,0,42,,54,,,96
5111721199,669,1349,,37,0,359,,273,,,632
5111721601,389,803,,20,0,213,,156,,,369
5111721605,727,1569,,55,0,391,,281,,,672
5111721609,369,961,,19,0,206,,144,,,350
5111721610,626,1314,,40,0,332,,254,,,586
5111721611,890,1962,,38,0,447,,405,,,852
5111721612,727,1832,,40,0,407,,280,,,687
5111721613,952,1919,,51,0,400,,501,,,901
5111721614,730,2108,,60,1,459,,210,,,669
5111721615,441,1296,,22,0,216,,203,,,419
5111721616,676,1625,,31,0,407,,238,,,645
5111721619,508,1277,,34,0,271,,203,,,474
5111721620,486,942,,24,0,210,,252,,,462
5111721621,875,2138,,45,0,463,,367,,,830
5111721622,920,2128,,41,0,509,,370,,,879
5111721623,1028,2328,,57,0,541,,430,,,971
5111721624,810,1986,,33,0,443,,334,,,777
5111721625,963,2018,,60,0,479,,424,,,903
5111721626,360,1332,,18,0,205,,137,,,342
5111721627,631,1228,,29,0,306,,296,,,602
5111721631,258,636,,8,0,123,,127,,,250
5111821087,348,855,,28,0,199,,121,,,320
5111821189,490,990,,39,0,306,,145,,,451
5111821602,1290,1962,,88,0,576,,626,,,1202
5111821603,776,1349,,53,0,350,,373,,,723
5111821604,575,1468,,38,0,306,,231,,,537
5111821606,957,1562,,42,0,441,,474,,,915
5115621653,171,224,,8,0,37,,126,,,163
5121521654,157,401,,10,0,50,,97,,,147
5121621092,379,547,,37,0,220,,122,,,342
5121621095,518,680,,51,0,207,,260,,,467
5121621096,600,914,,36,0,263,,301,,,564
5121621168,1081,1481,,79,0,613,,389,,,1002
5121621170,1059,1610,,64,0,581,,414,,,995
5121621171,1056,1400,,85,0,585,,386,,,971
5121621172,1151,1504,,90,0,713,,348,,,1061
5121621173,1238,1906,,104,1,678,,455,,,1133
5121621179,1179,1676,,89,0,703,,387,,,1090
5121821001,0,0,,0,0,0,,0,,,0
5121821093,94,139,,9,0,62,,23,,,85
5121821107,991,1815,,73,0,501,,417,,,918
5121821108,961,1337,,66,0,466,,429,,,895
5121821110,983,1757,,64,0,570,,349,,,919
5121821111,794,1346,,58,0,418,,318,,,736
5121821112,1090,1715,,57,0,661,,372,,,1033
5121821113,1000,1542,,78,0,550,,372,,,922
5121821114,1493,2160,,88,0,734,,671,,,1405
5121821115,706,984,,57,0,293,,356,,,649
5121821118,823,1307,,51,0,386,,386,,,772
5121821119,946,1556,,63,0,564,,319,,,883
5121821133,519,775,,37,0,240,,242,,,482
5121821176,846,1468,,57,0,653,,136,,,789
5121821177,818,1395,,55,0,536,,227,,,763
5121821720,734,1244,,50,0,399,,285,,,684
5121821721,1244,1629,,81,0,532,,631,,,1163
5121821722,1379,1778,,95,0,579,,705,,,1284
5121821723,1229,1940,,78,0,571,,580,,,1151
5121821724,524,860,,44,0,264,,216,,,480
5121821725,1392,2018,,98,0,543,,751,,,1294
5121821726,1410,1740,,82,0,477,,851,,,1328
5121821727,1343,1688,,91,0,453,,799,,,1252
5121821728,1441,1983,,49,0,475,,917,,,1392
5121821729,1479,1997,,100,0,492,,887,,,1379
5121821730,1141,1822,,78,0,405,,658,,,1063
5121821740,1235,1656,,61,0,472,,702,,,1174
5121821742,869,1250,,41,0,573,,255,,,828
5121821743,950,1385,,57,0,589,,304,,,893
5121821744,964,1233,,48,0,522,,394,,,916
5121821745,203,281,,11,0,85,,107,,,192
5121821839,681,1058,,35,0,195,,451,,,646
5122021741,18,21,,0,0,6,,12,,,18
5122021747,0,0,,0,0,0,,0,,,0
5122121630,1002,1959,,47,0,416,,539,,,955
5122121632,1004,2271,,49,0,437,,518,,,955
5122121633,1030,1902,,57,1,356,,616,,,972
5122121634,1101,1958,,41,1,398,,661,,,1059
5122121635,1107,2039,,44,0,419,,644,,,1063
5122121636,567,1112,,37,0,216,,314,,,530
5122121637,1025,2018,,45,0,411,,569,,,980
5122121638,807,1562,,41,1,336,,429,,,765
5122121639,548,1283,,34,0,244,,270,,,514
5122121640,847,1683,,29,0,337,,481,,,818
5122121641,951,1716,,35,1,325,,590,,,915
5122121642,674,1298,,28,0,250,,396,,,646
5122121643,763,1479,,36,0,280,,447,,,727
5122121644,796,1580,,30,0,373,,393,,,766
5122121645,586,1117,,25,0,215,,346,,,561
5122121646,554,978,,24,0,207,,323,,,530
5122121648,506,1223,,21,0,221,,264,,,485
5122121652,1017,1840,,40,0,364,,613,,,977
5122121800,174,2090,,3,0,66,,105,,,171
5122121801,584,1484,,33,0,203,,348,,,551
5122121802,792,1680,,36,0,318,,438,,,756
5122121803,758,1644,,29,0,318,,411,,,729
5122121804,658,1265,,32,0,245,,381,,,626
5122121805,863,1778,,46,0,370,,447,,,817
5122121806,665,1168,,26,0,245,,394,,,639
5122121807,691,1718,,42,0,316,,333,,,649
5122121808,802,1814,,38,0,353,,411,,,764
5122121810,14,396,,0,0,7,,7,,,14
5351521425,0,0,,0,0,0,,0,,,0
5351521520,181,389,,12,0,48,,121,,,169
5352021213,1193,1535,,61,0,264,,868,,,1132
5352021214,1421,1834,,78,0,273,,1070,,,1343
5352021218,830,1149,,46,0,167,,617,,,784
5352021219,1404,1996,,65,0,303,,1036,,,1339
5352021320,818,1069,,38,0,168,,612,,,780
5352021321,1499,1882,,92,0,317,,1090,,,1407
5352021322,1221,1607,,70,0,232,,919,,,1151
5352021440,1402,1857,,65,0,262,,1075,,,1337
5352021441,1102,1478,,44,0,231,,827,,,1058
5352021442,1707,2620,,74,0,358,,1275,,,1633
5352021443,928,1485,,36,0,207,,685,,,892
5352021444,1517,2313,,62,0,330,,1125,,,1455
5352021446,1968,3358,,88,0,553,,1327,,,1880
5352021447,898,1557,,31,0,279,,588,,,867
5352021448,1023,1589,,50,1,266,,706,,,972
5352021449,936,1583,,42,0,257,,637,,,894
5352021450,1137,1692,,47,0,289,,801,,,1090
5352021451,1068,1713,,54,1,239,,774,,,1013
5352021525,157,220,,4,0,25,,128,,,153
5352121809,29,44,,0,0,7,,22,,,29
5352121829,122,165,,5,0,30,,87,,,117
5355621452,1197,1741,,45,0,277,,875,,,1152
5355621453,1087,1600,,49,0,210,,828,,,1038
5355621457,17,23,,****,****,****,****,****,,****,****
5355621521,699,1261,,29,0,141,,546,,,687
5355621522,1019,1571,,45,0,173,,801,,,974
5355621523,1009,1463,,36,0,163,,810,,,973
5355621526,75,95,,3,0,14,,58,,,72
5355621828,329,554,,15,0,68,,246,,,314
7121821746,332,464,,18,0,166,,156,,,322
