Precinct,Times Cast,"Registered 
Voters",,Undervotes,Overvotes,"Lisa Wilkes
(DEM) ",,"Steve Schleiker
(REP) ",,,Total Votes
4355621500,310,475,,9,0,53,,248,,,301
4355621501,669,1048,,28,0,99,,542,,,641
4355621502,704,1064,,16,0,101,,587,,,688
4355621524,1290,1765,,41,0,197,,1052,,,1249
4355621527,8,16,,****,****,****,****,****,,****,****
4355621554,115,197,,5,0,29,,81,,,110
4355621560,977,1625,,19,0,165,,793,,,958
5091421101,1123,1698,,51,0,444,,628,,,1072
5091421102,1447,1778,,69,0,651,,727,,,1378
5091421103,1277,1848,,53,0,511,,713,,,1224
5091421104,1521,2149,,82,0,660,,779,,,1439
5091421116,1402,1731,,65,0,471,,866,,,1337
5091421201,1425,1824,,66,0,402,,957,,,1359
5091421202,1342,1737,,55,1,410,,876,,,1286
5091421203,1188,1536,,49,0,391,,748,,,1139
5091421204,1268,1685,,57,0,433,,778,,,1211
5091421205,1286,1906,,60,0,502,,724,,,1226
5091421206,871,1320,,52,0,405,,414,,,819
5091421207,535,818,,27,0,209,,299,,,508
5091421208,1245,1697,,57,0,479,,709,,,1188
5091421215,884,1216,,42,0,213,,629,,,842
5091421216,1364,2214,,61,0,500,,803,,,1303
5091421217,1063,1382,,58,0,291,,714,,,1005
5091421220,1586,2366,,101,0,554,,931,,,1485
5091421221,1340,1983,,59,0,379,,902,,,1281
5091421222,819,1190,,48,0,230,,541,,,771
5091421223,1532,2214,,96,0,494,,942,,,1436
5091421224,1188,1806,,68,1,396,,723,,,1119
5091421225,1230,1755,,73,0,398,,759,,,1157
5091421226,649,1031,,19,0,252,,378,,,630
5091421227,1367,2023,,71,1,386,,909,,,1295
5091421228,712,1119,,37,0,197,,478,,,675
5091421229,997,1307,,63,0,372,,562,,,934
5091421230,1324,1833,,92,0,363,,869,,,1232
5091421231,1235,1830,,64,0,386,,785,,,1171
5091421232,1129,1652,,50,0,350,,729,,,1079
5091421233,1244,1782,,78,0,401,,765,,,1166
5091421234,1267,1724,,88,0,381,,798,,,1179
5091421239,1113,1759,,50,0,364,,699,,,1063
5091421240,1151,1744,,59,1,375,,716,,,1091
5091421244,808,1293,,42,0,231,,535,,,766
5091421245,1271,1731,,78,0,408,,785,,,1193
5091421248,942,1227,,56,0,309,,577,,,886
5091421249,904,1329,,48,0,287,,569,,,856
5091421250,1061,1674,,68,0,354,,639,,,993
5091421254,383,875,,22,0,187,,174,,,361
5091421256,1028,1441,,54,0,338,,636,,,974
5091421445,987,1759,,44,0,426,,517,,,943
5091521253,410,673,,15,0,131,,264,,,395
5091521454,911,1645,,40,0,323,,548,,,871
5091521455,369,594,,17,0,119,,233,,,352
5091521456,416,706,,10,0,174,,232,,,406
5091821089,558,890,,44,2,271,,241,,,512
5091821105,1353,1595,,47,0,365,,941,,,1306
5091821106,1100,1753,,46,1,472,,581,,,1053
5091821109,154,234,,5,0,79,,70,,,149
5091821117,1001,1615,,45,0,435,,521,,,956
5091821748,358,452,,16,0,117,,225,,,342
5092021200,234,732,,11,0,88,,135,,,223
5092021209,1217,1620,,53,1,325,,838,,,1163
5092021210,1217,1685,,45,0,330,,842,,,1172
5092021211,1061,1541,,39,0,332,,690,,,1022
5092021212,1326,1744,,55,0,307,,964,,,1271
5092021301,808,1002,,33,0,259,,516,,,775
5092021302,1584,2079,,88,1,588,,907,,,1495
5092021303,1503,2054,,87,0,441,,975,,,1416
5092021304,1147,1618,,56,0,354,,737,,,1091
5092021310,1466,1883,,58,0,394,,1014,,,1408
5092021311,1569,2003,,82,0,419,,1068,,,1487
5092021312,1561,1945,,83,0,447,,1031,,,1478
5092021313,1162,1671,,57,0,320,,785,,,1105
5092021314,1192,1521,,53,0,314,,825,,,1139
5092021315,1133,1453,,63,0,321,,749,,,1070
5092021316,1141,1426,,53,0,272,,816,,,1088
5092021317,1580,2042,,71,0,451,,1058,,,1509
5092021318,1897,2395,,112,0,471,,1314,,,1785
5092021319,1237,1782,,78,1,380,,778,,,1158
5092021323,555,731,,17,0,131,,407,,,538
5092221235,1273,1869,,84,0,419,,770,,,1189
5092221236,840,1214,,44,1,290,,505,,,795
5092221237,855,1386,,50,0,306,,499,,,805
5092221238,844,1324,,57,0,313,,474,,,787
5092221241,1297,1990,,65,0,443,,789,,,1232
5092221246,773,1347,,45,0,301,,427,,,728
