Precinct,Times Cast,"Registered 
Voters",,Undervotes,Overvotes,"John K. Foley
(DEM) ",,"Joe Roybal
(REP) ",,,Total Votes
4355621500,310,475,,8,0,49,,253,,,302
4355621501,669,1048,,27,0,115,,527,,,642
4355621502,704,1064,,22,0,109,,573,,,682
4355621524,1290,1765,,42,0,192,,1056,,,1248
4355621527,8,16,,****,****,****,****,****,,****,****
4355621554,115,197,,2,0,27,,86,,,113
4355621560,977,1625,,18,0,160,,799,,,959
5091421101,1123,1698,,52,0,480,,591,,,1071
5091421102,1447,1778,,73,0,665,,709,,,1374
5091421103,1277,1848,,52,0,542,,683,,,1225
5091421104,1521,2149,,87,0,678,,756,,,1434
5091421116,1402,1731,,61,0,511,,830,,,1341
5091421201,1425,1824,,64,0,423,,938,,,1361
5091421202,1342,1737,,50,1,433,,858,,,1291
5091421203,1188,1536,,48,0,407,,733,,,1140
5091421204,1268,1685,,57,0,464,,747,,,1211
5091421205,1286,1906,,57,0,498,,731,,,1229
5091421206,871,1320,,53,0,396,,422,,,818
5091421207,535,818,,32,0,216,,287,,,503
5091421208,1245,1697,,56,0,506,,683,,,1189
5091421215,884,1216,,36,0,209,,639,,,848
5091421216,1364,2214,,62,0,509,,793,,,1302
5091421217,1063,1382,,43,0,298,,722,,,1020
5091421220,1586,2366,,81,0,552,,953,,,1505
5091421221,1340,1983,,50,0,375,,915,,,1290
5091421222,819,1190,,41,0,240,,538,,,778
5091421223,1532,2214,,83,0,515,,934,,,1449
5091421224,1188,1806,,58,0,409,,721,,,1130
5091421225,1230,1755,,59,0,420,,751,,,1171
5091421226,649,1031,,19,0,248,,382,,,630
5091421227,1367,2023,,63,1,383,,920,,,1303
5091421228,712,1119,,36,0,208,,468,,,676
5091421229,997,1307,,52,0,382,,563,,,945
5091421230,1324,1833,,75,0,370,,879,,,1249
5091421231,1235,1830,,57,0,411,,767,,,1178
5091421232,1129,1652,,48,0,347,,734,,,1081
5091421233,1244,1782,,75,0,425,,744,,,1169
5091421234,1267,1724,,72,0,405,,790,,,1195
5091421239,1113,1759,,44,0,388,,681,,,1069
5091421240,1151,1744,,50,0,396,,705,,,1101
5091421244,808,1293,,43,0,242,,523,,,765
5091421245,1271,1731,,62,0,435,,774,,,1209
5091421248,942,1227,,48,0,326,,568,,,894
5091421249,904,1329,,50,0,300,,554,,,854
5091421250,1061,1674,,53,0,368,,640,,,1008
5091421254,383,875,,15,0,197,,171,,,368
5091421256,1028,1441,,52,0,335,,641,,,976
5091421445,987,1759,,45,0,412,,530,,,942
5091521253,410,673,,14,0,139,,257,,,396
5091521454,911,1645,,39,0,321,,551,,,872
5091521455,369,594,,17,0,125,,227,,,352
5091521456,416,706,,9,0,169,,238,,,407
5091821089,558,890,,44,0,281,,233,,,514
5091821105,1353,1595,,55,0,390,,908,,,1298
