Precinct,Times Cast,"Registered 
Voters",,Undervotes,Overvotes,"Chuck Broerman
(REP) ",,"Richard Williams
(DEM) ",,,Total Votes
4355621500,310,475,,6,0,262,,42,,,304
4355621501,669,1048,,29,0,548,,92,,,640
4355621502,704,1064,,14,0,617,,73,,,690
4355621524,1290,1765,,35,0,1082,,173,,,1255
4355621527,8,16,,****,****,****,****,****,,****,****
4355621554,115,197,,5,0,82,,28,,,110
4355621560,977,1625,,19,0,825,,133,,,958
5091421101,1123,1698,,65,0,667,,391,,,1058
5091421102,1447,1778,,78,0,809,,560,,,1369
5091421103,1277,1848,,68,1,749,,459,,,1208
5091421104,1521,2149,,87,0,866,,568,,,1434
5091421116,1402,1731,,68,0,913,,421,,,1334
5091421201,1425,1824,,80,0,998,,347,,,1345
5091421202,1342,1737,,54,1,922,,365,,,1287
5091421203,1188,1536,,51,0,801,,336,,,1137
5091421204,1268,1685,,64,0,826,,378,,,1204
5091421205,1286,1906,,68,0,797,,421,,,1218
5091421206,871,1320,,58,0,457,,356,,,813
5091421207,535,818,,32,0,321,,182,,,503
5091421208,1245,1697,,62,0,755,,428,,,1183
5091421215,884,1216,,47,0,653,,184,,,837
5091421216,1364,2214,,66,0,852,,446,,,1298
5091421217,1063,1382,,54,0,744,,265,,,1009
5091421220,1586,2366,,86,0,1018,,482,,,1500
5091421221,1340,1983,,60,0,943,,337,,,1280
5091421222,819,1190,,51,0,567,,201,,,768
5091421223,1532,2214,,88,0,1013,,431,,,1444
5091421224,1188,1806,,68,0,769,,351,,,1120
5091421225,1230,1755,,76,0,798,,356,,,1154
5091421226,649,1031,,26,0,406,,217,,,623
5091421227,1367,2023,,74,1,940,,352,,,1292
5091421228,712,1119,,33,0,503,,176,,,679
5091421229,997,1307,,57,0,611,,329,,,940
5091421230,1324,1833,,82,0,929,,313,,,1242
5091421231,1235,1830,,61,0,833,,341,,,1174
5091421232,1129,1652,,48,0,763,,318,,,1081
5091421233,1244,1782,,80,0,813,,351,,,1164
5091421234,1267,1724,,82,0,848,,337,,,1185
5091421239,1113,1759,,47,0,735,,331,,,1066
5091421240,1151,1744,,46,0,777,,328,,,1105
5091421244,808,1293,,45,0,550,,213,,,763
5091421245,1271,1731,,66,0,848,,357,,,1205
5091421248,942,1227,,64,1,612,,265,,,877
5091421249,904,1329,,46,0,595,,263,,,858
5091421250,1061,1674,,64,0,690,,307,,,997
5091421254,383,875,,21,0,197,,165,,,362
5091421256,1028,1441,,50,0,685,,293,,,978
5091421445,987,1759,,46,0,567,,374,,,941
5091521253,410,673,,16,0,277,,117,,,394
5091521454,911,1645,,47,0,578,,286,,,864
5091521455,369,594,,17,0,236,,116,,,352
5091521456,416,706,,8,0,259,,149,,,408
5091821089,558,890,,53,2,269,,234,,,503
5091821105,1353,1595,,62,0,992,,299,,,1291
5091821106,1100,1753,,60,1,626,,413,,,1039
5091821109,154,234,,9,0,79,,66,,,145
5091821117,1001,1615,,50,1,558,,392,,,950
5091821748,358,452,,19,0,233,,106,,,339
5092021200,234,732,,12,0,144,,78,,,222
5092021209,1217,1620,,64,0,871,,282,,,1153
5092021210,1217,1685,,49,0,865,,303,,,1168
5092021211,1061,1541,,38,0,735,,288,,,1023
5092021212,1326,1744,,48,0,999,,279,,,1278
5092021301,808,1002,,29,0,562,,217,,,779
5092021302,1584,2079,,93,0,990,,501,,,1491
5092021303,1503,2054,,87,0,1042,,374,,,1416
5092021304,1147,1618,,61,0,783,,303,,,1086
5092021310,1466,1883,,73,0,1025,,368,,,1393
5092021311,1569,2003,,81,0,1120,,368,,,1488
5092021312,1561,1945,,86,0,1074,,401,,,1475
5092021313,1162,1671,,62,0,830,,270,,,1100
5092021314,1192,1521,,58,0,871,,263,,,1134
5092021315,1133,1453,,64,0,776,,293,,,1069
5092021316,1141,1426,,55,0,841,,245,,,1086
5092021317,1580,2042,,70,0,1109,,401,,,1510
5092021318,1897,2395,,113,0,1393,,391,,,1784
5092021319,1237,1782,,78,0,824,,335,,,1159
5092021323,555,731,,15,0,428,,112,,,540
5092221235,1273,1869,,84,0,803,,386,,,1189
5092221236,840,1214,,38,0,544,,258,,,802
5092221237,855,1386,,44,0,529,,282,,,811
5092221238,844,1324,,53,0,508,,283,,,791
5092221241,1297,1990,,48,0,854,,395,,,1249
5092221246,773,1347,,46,0,457,,270,,,727
5092221247,772,1195,,46,0,462,,264,,,726
5101421088,254,689,,8,0,124,,122,,,246
5101421097,36,92,,3,0,17,,16,,,33
