BLOCK,DISTRICT
080410001021000,5
080410001021001,5
080410001021002,5
080410001021003,5
080410001021004,5
080410001021005,5
080410001021006,5
080410001021007,5
080410001021008,5
080410001021009,5
080410001021010,5
080410001021011,5
080410001021012,5
080410001021013,5
080410001021014,5
080410001021015,5
080410001021016,5
080410001021017,5
080410001021018,5
080410001022000,5
080410001022001,5
080410001022002,5
080410001022003,5
080410001022004,5
080410001022005,5
080410001022006,5
080410001022007,5
080410001022008,5
080410001022009,5
080410001022010,5
080410001022011,5
080410001022012,5
080410001022013,5
080410001022014,5
080410001022015,5
080410001022016,5
080410001022017,5
080410001022018,5
080410001022019,5
080410001022020,5
080410001022021,5
080410001022022,5
080410001023000,5
080410001023001,5
080410001023002,5
080410001023003,5
080410001023004,5
080410001023005,5
080410001023006,5
080410001023007,5
080410001023008,5
080410001023009,5
080410001023010,5
080410001023011,5
080410001023012,5
080410001023013,5
080410001023014,5
080410001023015,5
080410001023016,5
080410001023017,5
080410001023018,5
080410001023019,5
080410001023020,5
080410001023021,5
080410001023022,5
080410001023023,5
080410001023024,5
080410001023025,5
080410001031000,5
080410001031001,5
080410001031002,5
080410001031003,5
080410001031004,5
080410001031005,5
080410001031006,5
080410001031007,5
080410001031008,5
080410001031009,5
080410001031010,5
080410001031011,5
080410001032000,5
080410001032001,5
080410001032002,5
080410001032003,5
080410001032004,5
080410001032005,5
080410001032006,5
080410001032007,5
080410001032008,5
080410001032009,5
080410001032010,5
080410001032011,5
080410001041000,5
080410001041001,5
080410001041002,5
080410001041003,5
080410001041004,5
080410001042000,5
080410001042001,5
080410001042002,5
080410001042003,5
080410001042004,5
080410001042005,5
080410001042006,5
080410001042007,5
080410001042008,5
080410001042009,5
080410001042010,5
080410001042011,5
080410001042012,5
080410001042013,5
080410001042014,5
080410001042015,5
080410001042016,5
080410001042017,5
080410001042018,5
080410001042019,5
080410001042020,5
080410001042021,5
080410001042022,5
080410001043000,5
080410001043001,5
080410001043002,5
080410001043003,5
080410001043004,5
080410001043005,5
080410001043006,5
080410001043007,5
080410001043008,5
080410001043009,5
080410002021000,5
080410002021001,5
080410002021002,5
080410002021003,5
080410002021004,5
080410002021005,5
080410002021006,5
080410002021007,5
080410002021008,5
080410002022000,5
080410002022001,5
080410002022002,5
080410002022003,5
080410002022004,5
080410002022005,5
080410002022006,5
080410002022007,5
080410002023000,5
080410002023001,5
080410002023002,5
080410002023003,5
080410002023004,5
080410002023005,5
080410002023006,5
080410002023007,5
080410002023008,5
080410002023009,5
080410002024000,5
080410002024001,5
080410002024002,5
080410002024003,5
080410002024004,5
080410002024005,5
080410002024006,5
080410002024007,5
080410002024008,5
080410002024009,5
080410002024010,5
080410002024011,5
080410002024012,5
080410002024013,5
080410002024014,5
080410002024015,5
080410002024016,5
080410002024017,5
080410002024018,5
080410002024019,5
080410002024020,5
080410002031000,5
080410002031001,5
080410002031002,5
080410002031003,5
080410002031004,5
080410002031005,5
080410002031006,5
080410002031007,5
080410002031008,5
080410002031009,5
080410002031010,5
080410002031011,5
080410002031012,5
080410002031013,5
080410002031014,5
080410002031015,5
080410002031016,5
080410002031017,5
080410002031018,5
080410002031019,5
080410002031020,5
080410002031021,5
080410002031022,5
080410002031023,5
080410002031024,5
080410002031025,5
080410002031026,5
080410002031027,5
080410002031028,5
080410002031029,5
080410002031030,5
080410002031031,5
080410002031032,5
080410002031033,5
080410002031034,5
080410002031035,5
080410002031036,5
080410002031037,5
080410002031038,5
080410002031039,5
080410002031040,5
080410002032000,5
080410002032001,5
080410002032002,5
080410002032003,5
080410002032004,5
080410002032005,5
080410002032006,5
080410002032007,5
080410002032008,5
080410002032009,5
080410002032010,5
080410002032011,5
080410002032012,5
080410002032013,5
080410002032014,5
080410002032015,5
080410002032016,5
080410002032017,5
080410002032018,5
080410002032019,5
080410002032020,5
080410002032021,5
080410002032022,5
080410002032023,5
080410002032024,5
080410002032025,5
080410002032026,5
080410002032027,5
080410002032028,5
080410002033000,5
080410002033001,5
080410002033002,5
080410002033003,5
080410002033004,5
080410002033005,5
080410002033006,5
080410002033007,5
080410002033008,5
080410002033009,5
080410002033010,5
080410002033011,5
080410002033012,5
080410002033013,5
080410002033014,5
080410002033015,5
080410002033016,5
080410002033017,5
080410003011000,5
080410003011001,5
080410003011002,5
080410003011003,5
080410003011004,5
080410003011005,5
080410003011006,5
080410003011007,5
080410003011008,5
080410003011009,5
080410003011010,5
080410003011011,5
080410003011012,5
080410003011013,5
080410003011014,5
080410003011015,5
080410003011016,5
080410003011017,5
080410003011018,5
080410003011019,5
080410003011020,5
080410003011021,5
080410003011022,5
080410003011023,5
080410003011024,5
080410003012000,3
080410003012001,3
080410003012002,3
080410003012003,3
080410003012004,3
080410003012005,3
080410003012006,3
080410003012007,3
080410003012008,3
080410003012009,3
080410003012010,3
080410003012011,3
080410003012012,3
080410003012013,3
080410003012014,3
080410003012015,3
080410003012016,3
080410003012017,3
080410003012018,3
080410003012019,3
080410003012020,3
080410003012021,3
080410003012022,3
080410003012023,3
080410003013000,3
080410003013001,3
080410003013002,3
080410003013003,3
080410003013004,3
080410003013005,3
080410003013006,3
080410003013007,3
080410003013008,3
080410003013009,3
080410003013010,3
080410003013011,3
080410003013012,3
080410003013013,3
080410003013014,3
080410003013015,3
080410003013016,3
080410003013017,3
080410003013018,3
080410003013019,3
080410003013020,3
080410003013021,3
080410003013022,3
080410003013023,3
080410003013024,3
080410003013025,3
080410003013026,3
080410003013027,3
080410003013028,3
080410003013029,3
080410003013030,3
080410003013031,3
080410003021000,3
080410003021001,3
080410003021002,3
080410003021003,3
080410003021004,3
080410003021005,3
080410003021006,3
080410003021007,3
080410003021008,3
080410003021009,3
080410003021010,3
080410003021011,3
080410003021012,3
080410003021013,3
080410003021014,3
080410003021015,3
080410003021016,3
080410003021017,3
080410003021018,3
080410003021019,3
080410003021020,3
080410003021021,3
080410003021022,3
080410003021023,3
080410003021024,3
080410003021025,3
080410003021026,3
080410003021027,3
080410003021028,3
080410003021029,3
080410003021030,3
080410003021031,3
080410003021032,3
080410003021033,3
080410003021034,3
080410003021035,3
080410003021036,3
080410003021037,3
080410003022000,3
080410003022001,3
080410003022002,3
080410003022003,3
080410003022004,3
080410003022005,3
080410003022006,3
080410003022007,3
080410003022008,3
080410003022009,3
080410003022010,3
080410003022011,3
080410003022012,3
080410003022013,3
080410003022014,3
080410003022015,3
080410003022016,3
080410003022017,3
080410003023000,3
080410003023001,3
080410003023002,3
080410003023003,3
080410003023004,3
080410003023005,3
080410003023006,3
080410003023007,3
080410003023008,3
080410003023009,3
080410003023010,3
080410003023011,3
080410003023012,3
080410003023013,3
080410003023014,3
080410003023015,3
080410003023016,3
080410003023017,3
080410003023018,3
080410003023019,3
080410004001000,5
080410004001001,5
080410004001002,5
080410004001003,5
080410004001004,5
080410004001005,5
080410004001006,5
080410004001007,5
080410004001008,5
080410004001009,5
080410004001010,5
080410004001011,5
080410004001012,5
080410004001013,5
080410004001014,5
080410004001015,5
080410004001016,5
080410004001017,5
080410004001018,5
080410004001019,5
080410004001020,5
080410004001021,5
080410004002000,5
080410004002001,5
080410004002002,5
080410004002003,5
080410004002004,5
080410004002005,5
080410004002006,3
080410004002007,3
080410004002008,3
080410004002009,3
080410004002010,3
080410004002011,3
080410004002012,3
080410004002013,3
080410004002014,3
080410004002015,3
080410004002016,5
080410004002017,5
080410004002018,5
080410004002019,5
080410004002020,5
080410004002021,5
080410004002022,5
080410004003000,3
080410004003001,3
080410004003002,3
080410004003003,3
080410004003004,3
080410004003005,3
080410004003006,3
080410004003007,3
080410004003008,3
080410004003009,3
080410004003010,3
080410004003011,3
080410004003012,3
080410004003013,3
080410004003014,3
080410004003015,3
080410004003016,3
080410004003017,3
080410004003018,3
080410004003019,3
080410004003020,3
080410004003021,3
080410004003022,3
080410004003023,3
080410004003024,3
080410004003025,3
080410004003026,3
080410004003027,3
080410004003028,3
080410004003029,3
080410004003030,3
080410004003031,3
080410004003032,3
080410004003033,3
080410004003034,3
080410004003035,3
080410004003036,3
080410004003037,3
080410004003038,3
080410004003039,3
080410004003040,3
080410004003041,3
080410005001000,3
080410005001001,3
080410005001002,3
080410005001003,3
080410005001004,3
080410005001005,3
080410005001006,3
080410005001007,3
080410005001008,3
080410005001009,3
080410005001010,3
080410005001011,3
080410005001012,3
080410005001013,3
080410005001014,3
080410005001015,3
080410005001016,3
080410005001017,3
080410005001018,3
080410005001019,3
080410005001020,3
080410005001021,3
080410005001022,3
080410005001023,3
080410005001024,3
080410005001025,3
080410005001026,3
080410005002000,3
080410005002001,3
080410005002002,3
080410005002003,3
080410005002004,3
080410005002005,3
080410005002006,3
080410005002007,3
080410005002008,3
080410005002009,3
080410005002010,3
080410005002011,3
080410005002012,3
080410005002013,3
080410005002014,3
080410005002015,3
080410005002016,3
080410005002017,3
080410005002018,3
080410005002019,3
080410005002020,3
080410005002021,3
080410005002022,3
080410005002023,3
