PRECINCT,COM_DIST,SENATE,REP,STATENUM,FEATDATE,POLLCODE,SHAPE_STAr,SHAPE_STLe
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000
417,2,10,15,5101521417.00000000,2002/03/15,,9451139.31367000006,15232.55944910000
405,2,10,15,5101521405.00000000,2002/03/15,,11368391.24730000086,17327.83263300000
643,4,12,21,5122121643.00000000,2009/09/01,,12027276.20940000005,21852.78970850000
406,2,10,15,5101521406.00000000,2005/04/28,,11231900.00219999999,15111.64794980000
612,5,11,17,5111721612.00000000,,,12166138.29759999923,18276.42321690000
220,1,9,14,5091421220.00000000,2009/09/01,,18605138.18210000172,19310.59606770000
124,5,10,16,5101621124.00000000,2009/09/01,,16225876.45470000058,20138.20297760000
611,5,11,17,5111721611.00000000,,,16138349.58359999955,17099.86929070000
616,5,11,17,5111721616.00000000,,,17106405.61960000172,19549.78938420000
223,1,9,14,5091421223.00000000,2009/09/01,,39897404.40500000119,36365.49069080000
626,5,11,17,5111721626.00000000,,,18898187.28500000015,20582.62429480000
137,5,11,17,5111721137.00000000,2002/03/15,,7376815.05437999964,11921.95969350000
232,1,9,14,5091421232.00000000,2006/02/13,,18878192.82779999822,21406.35783800000
187,5,11,17,5111721187.00000000,2002/03/15,,14041108.99019999988,15960.01809770000
614,5,11,17,5111721614.00000000,,,14658989.70879999921,18707.93805870000
627,2,11,17,5111721627.00000000,2002/03/15,,11227964.56289999932,17016.93983410000
619,5,11,17,5111721619.00000000,,,6570466.27395000029,14087.81203040000
620,2,11,17,5111721620.00000000,2002/03/15,,7815675.14814999979,15196.03574490000
633,4,12,21,5122121633.00000000,,,16534084.80150000006,21473.74400410000
638,4,12,21,5122121638.00000000,,,11590215.01070000045,18442.59391180000
234,1,9,14,5091421234.00000000,2006/02/13,,20778945.86070000008,22727.35717030000
407,2,10,15,5101521407.00000000,2006/02/13,,9713097.77036000043,17115.12824870000
623,4,11,17,5111721623.00000000,2002/03/15,,24842128.53730000183,24766.38388330000
624,4,11,17,5111721624.00000000,2002/03/15,,13442258.16090000048,17117.45172070000
408,2,10,15,5101521408.00000000,2009/09/01,,12694679.39790000021,16567.67969440000
722,3,12,18,5121821722.00000000,,,73380926.69740000367,44000.27623230000
723,3,12,18,5121821723.00000000,,,19679628.41239999980,18525.37757060000
720,3,12,18,5121821720.00000000,,,10833890.73389999941,18236.87493410000
