BLOCK,PRECINCT
080410045072004,644
080410045062000,638
080410045072003,638
080410045072000,644
080410045073002,644
080410045202000,645
080410045064000,638
080410045071000,644
080410045071005,644
080410045071006,644
080410045073021,644
080410045071004,644
080410045073000,644
080410045073005,632
080410045071001,644
080410045071003,644
080410045073003,644
080410045073007,638
080410045073001,644
080410045072001,644
080410045072002,644
080410045064004,638
080410045201002,645
080410045073022,644
080410045071002,644
080410045072005,644
080410045073004,644
080410051123013,404
080410051131005,417
080410051123011,404
080410051201018,407
080410051131008,417
080410051131010,417
080410051121004,404
080410051131000,417
080410051121001,417
080410051202023,407
080410051131006,417
080410051121000,417
080410051122005,404
080410051121005,417
080410051121002,417
080410051121003,417
080410051132009,405
080410051131003,417
080410051131009,417
080410051123010,404
080410051204016,402
080410051131007,417
080410051171003,409
080410051121006,417
080410051131004,417
080410051131002,417
080410051122000,404
080410051123014,404
080410051131001,417
080410051171002,409
080410051132012,405
080410051171000,411
080410051172002,411
080410051132000,405
080410051132002,405
080410051132014,405
080410051132007,405
080410051242008,405
080410051242014,406
080410051251048,405
080410051242015,405
080410051132001,405
080410051132005,405
080410051132008,405
080410051242016,406
080410051242010,405
080410051242005,406
080410051242006,405
080410051242004,406
080410051252040,405
080410051251047,405
080410051132004,405
080410051242009,405
080410051242001,405
080410051132003,405
080410051132013,405
080410051132011,405
080410051132015,405
080410051242007,405
080410051252041,408
080410051132006,405
080410051132010,405
080410045182008,643
080410045182014,643
080410045182012,643
080410045182002,643
080410045201000,643
080410045182013,643
080410045182010,640
080410045182003,643
080410045191028,643
080410045191015,643
080410045182007,643
080410045201009,643
080410045182005,643
080410045201008,643
080410045182015,643
080410045182011,643
080410045191029,643
080410045182001,643
080410045191020,639
080410045191016,643
080410045191017,645
080410045182033,643
080410045182032,643
080410045182006,643
080410045182009,640
080410045181006,652
080410045201010,643
080410045201006,643
080410045191027,643
080410045191004,640
080410045191003,640
080410045191012,643
080410045191011,643
080410045191013,643
080410045201007,643
080410045182004,643
080410045191018,645
080410045191021,639
080410045182000,643
080410045191014,643
080410045201001,643
080410051172001,411
080410051241006,406
080410051241002,406
080410051242020,406
080410051241017,406
080410051241007,406
080410051241013,406
080410051252042,408
080410051241008,406
080410051241012,406
080410051241005,406
080410051241011,406
080410051241014,406
080410051241001,406
080410051241003,406
080410051242021,406
080410051242019,406
080410051242018,406
080410051241004,406
080410051242011,406
080410051242012,406
080410051242002,406
080410051242013,406
080410051242000,406
080410051242017,406
080410051241010,406
080410051241016,406
080410051241000,406
080410051241009,406
080410051242003,406
080410051242022,406
080410051172000,411
080410051224007,424
080410051224019,427
080410051162000,411
080410051162001,411
080410051241015,406
080410053004003,612
080410053004009,612
080410054004001,612
080410053001008,611
080410054004007,612
080410054004000,612
080410054002009,616
080410053003002,616
080410053004012,612
080410045011003,615
080410053004007,612
080410053003008,612
080410053003007,612
080410053003005,616
080410054004005,612
080410054004004,612
080410053003004,616
080410053003003,616
080410054004002,612
080410053003010,616
080410054004003,612
080410054004008,612
080410054004006,612
080410054003013,612
