PRECINCT,COM_DIST,SENATE,REP,STATENUM,FEATDATE,POLLCODE,SHAPE_STAr,SHAPE_STLe,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,ZOVERLAP
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,2004,080410045072004,Block 2004,G5040,,,,S,92181,0,+38.7305732,-104.7012491,92174.386
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004506,2000,080410045062000,Block 2000,G5040,,,,S,68806,0,+38.7359453,-104.7041415,1901.851
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,2003,080410045072003,Block 2003,G5040,,,,S,37937,0,+38.7312809,-104.7067879,474.513
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,2000,080410045072000,Block 2000,G5040,,,,S,28623,0,+38.7331094,-104.7014136,28623.324
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,3002,080410045073002,Block 3002,G5040,,,,S,47462,0,+38.7266856,-104.7004235,47462.079
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004520,2000,080410045202000,Block 2000,G5040,,,,S,104460,0,+38.7287064,-104.6967103,0.004
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004506,4000,080410045064000,Block 4000,G5040,,,,S,118408,0,+38.7283928,-104.7071667,3.537
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,1000,080410045071000,Block 1000,G5040,,,,S,61383,0,+38.7367463,-104.6991113,59091.234
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,1005,080410045071005,Block 1005,G5040,,,,S,21931,0,+38.7341782,-104.6968040,21931.490
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,1006,080410045071006,Block 1006,G5040,,,,S,82734,0,+38.7326050,-104.6985959,82734.322
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,3021,080410045073021,Block 3021,G5040,,,,S,10604,0,+38.7255079,-104.6987397,9742.689
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,1004,080410045071004,Block 1004,G5040,,,,S,111842,0,+38.7338553,-104.6957558,111040.079
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,3000,080410045073000,Block 3000,G5040,,,,S,125447,0,+38.7281070,-104.6986045,125393.270
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,3005,080410045073005,Block 3005,G5040,,,,S,138914,0,+38.7225816,-104.7025155,547.553
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,1001,080410045071001,Block 1001,G5040,,,,S,10560,0,+38.7362530,-104.6964135,10560.282
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,1003,080410045071003,Block 1003,G5040,,,,S,109568,0,+38.7352216,-104.7004493,109568.467
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,3003,080410045073003,Block 3003,G5040,,,,S,21843,0,+38.7244600,-104.7035908,21788.084
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,3007,080410045073007,Block 3007,G5040,,,,S,48590,0,+38.7233048,-104.7078403,24.684
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,3001,080410045073001,Block 3001,G5040,,,,S,12582,0,+38.7243393,-104.7002651,12581.737
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,2001,080410045072001,Block 2001,G5040,,,,S,81588,0,+38.7325208,-104.7036795,81587.381
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004507,2002,080410045072002,Block 2002,G5040,,,,S,83319,0,+38.7304873,-104.7047298,83038.105
644,4,12,21,5122121644.00000000,2009/09/01,,10656774.27649999969,17423.55670480000,08,041,004506,4004,080410045064004,Block 4004,G5040,,,,S,98330,0,+38.7277519,-104.7043531,1405.500
