GEOID20,District
080410001021000,5
080410001021001,5
080410001021002,5
080410001021003,5
080410001021004,5
080410001021005,5
080410001021006,5
080410001021007,5
080410001021008,5
080410001021009,5
080410001021010,5
080410001021011,5
080410001021012,5
080410001021013,5
080410001021014,5
080410001021015,5
080410001021016,5
080410001021017,5
080410001021018,5
080410001022000,5
080410001022001,5
080410001022002,5
080410001022003,5
080410001022004,5
080410001022005,5
080410001022006,5
080410001022007,5
080410001022008,5
080410001022009,5
080410001022010,5
080410001022016,5
080410001022017,5
080410001022018,5
080410001022019,5
080410001022020,5
080410001022021,5
080410001022022,5
080410001023016,5
080410001023017,5
080410001023018,5
080410001023019,5
080410001023023,5
080410001023024,5
080410059001017,5
080410001022011,5
080410001022012,5
080410001022013,5
080410001022014,5
080410001022015,5
080410001023000,5
080410001023001,5
080410001023002,5
080410001023003,5
080410001023004,5
080410001023005,5
080410001023006,5
080410001023007,5
080410001023008,5
080410001023009,5
080410001023010,5
080410001023011,5
080410001023012,5
080410001023013,5
080410001023014,5
080410001023015,5
080410001023020,5
080410001023021,5
080410001023022,5
080410001023025,5
080410001042015,5
080410001042016,5
080410001042018,5
080410001042019,5
080410001042020,5
080410001042021,5
080410001042022,5
080410006001000,5
080410006001001,5
080410006001002,5
080410006001003,5
080410006001004,5
080410006001005,5
080410006001006,5
080410006001007,5
080410006001008,5
080410006001009,5
080410006001010,5
080410006001011,5
080410006001012,5
080410006001013,5
080410006001014,5
080410006001015,5
080410006001016,5
080410006001017,5
080410006001018,5
080410006001019,5
080410006001020,5
080410006001021,5
080410006001022,5
080410006001023,5
080410006001024,5
080410006001025,5
080410006003029,5
080410001031000,5
080410001031001,5
080410001031002,5
080410001031003,5
080410001031004,5
080410001031005,5
080410001031006,5
080410001031007,5
080410001031008,5
080410001031009,5
080410001031010,5
080410001031011,5
080410001032002,5
080410001032003,5
080410001032004,5
080410001032005,5
080410001032006,5
080410001032007,5
080410001032008,5
080410001032009,5
080410001032010,5
080410001032011,5
080410001041000,5
080410001041001,5
080410001041002,5
080410001041003,5
080410002024016,5
080410001032000,5
080410001032001,5
080410002021000,5
080410002021001,5
080410002021002,5
080410002021003,5
080410002021004,5
080410002024000,5
080410002024001,5
080410002024002,5
080410002024003,5
080410002024004,5
080410002024005,5
080410002024006,5
080410002024017,5
080410002024018,5
080410002024019,5
080410002024020,5
080410049012002,5
080410049012003,5
080410049012004,5
080410049012005,5
080410049012006,5
080410049012007,5
080410049012008,5
080410049012009,5
080410049012010,5
080410049012011,5
080410049012012,5
080410049012013,5
080410049012014,5
080410049012015,5
080410049012016,5
080410049012017,5
080410049012018,5
080410049012019,5
080410049012020,5
080410049012021,5
080410049012022,5
080410049012023,5
080410001041004,5
080410001042000,5
080410001042001,5
080410001042002,5
080410001042003,5
080410001042004,5
080410001042005,5
080410001042006,5
080410001042007,5
080410001042008,5
080410001042009,5
080410001042010,5
080410001042011,5
080410001042012,5
080410001042013,5
080410001042014,5
080410001042017,5
080410001043000,5
080410001043001,5
080410001043002,5
080410001043003,5
080410001043004,5
080410001043005,5
080410002024015,5
080410003011000,5
080410003011001,5
080410003011002,5
080410003011003,5
080410003011004,5
080410003011022,5
080410003011023,5
080410003011024,5
080410001043006,5
080410001043007,5
080410002031000,5
080410002031001,5
080410002031002,5
080410002031003,5
080410002031004,5
080410002031005,5
080410002031006,5
080410002031007,5
080410002031011,5
080410002031012,5
080410002031020,5
080410002031021,5
080410002031022,5
080410002031023,5
080410002031024,5
080410002031025,5
080410002031026,5
080410002031036,5
080410002031037,5
080410002031038,5
080410002031039,5
080410003011005,5
080410003011006,5
080410003011007,5
080410003011008,5
080410003011009,5
080410003011010,5
080410003011011,5
080410003011012,5
080410003011013,5
080410003011014,5
080410003011015,5
080410003011016,5
080410003011017,5
080410003011018,5
080410003011019,5
080410003011020,5
080410003011021,5
080410001043008,5
080410001043009,5
080410006003009,5
080410006003010,5
080410006003011,5
080410004001000,3
080410004001001,3
080410004001002,3
080410004001003,3
080410004001004,3
080410004001005,3
080410004001006,3
080410004001007,3
080410004001008,3
080410004001009,3
080410004001010,3
080410004001011,3
080410004001012,3
080410004001013,3
080410004001014,3
080410004001015,3
080410004001016,3
080410004001017,3
080410004001018,3
080410004001019,3
080410004001020,3
080410004001021,3
080410002021005,5
080410002021006,5
080410002021007,5
080410002021008,5
080410002022000,5
080410002022001,5
080410002022002,5
080410002022003,5
080410002022004,5
080410002022005,5
080410002022006,5
080410002022007,5
080410002023000,5
080410002023001,5
080410002023002,5
080410002023003,5
080410002023004,5
080410002023005,5
080410002023006,5
080410002023007,5
080410002023008,5
080410002023009,5
080410002024007,5
080410002024008,5
080410002024009,5
080410002024010,5
080410002024011,5
080410002024012,5
080410002024013,5
080410002024014,5
080410048003012,5
080410078021009,5
080410078021011,5
080410078022006,5
080410078022007,5
080410078022008,5
080410078022009,5
080410078022010,5
080410078022011,5
080410078022012,5
080410078022013,5
080410078022014,5
080410078022015,5
080410078022016,5
080410078022017,5
080410078022018,5
080410002031008,3
080410002031013,3
080410002031014,3
080410002031015,3
080410002031016,3
080410002031017,3
080410002031018,3
080410002031019,3
080410002031027,3
080410002031028,3
080410002031029,3
080410002031030,3
080410002031031,3
080410002031032,3
080410002031033,3
080410002031034,3
080410002031035,3
080410002031040,3
080410002032028,3
080410002033007,3
080410002033008,3
080410002033009,3
080410002033010,3
080410002033011,3
080410002033012,3
080410002033013,3
080410002033014,3
080410002033016,3
080410002033017,3
080410002031009,3
080410002031010,3
080410002032000,3
080410002032001,3
080410002032002,3
080410002032003,3
080410002032004,3
080410002032005,3
080410002032006,3
080410002032007,3
080410002032008,3
080410002032009,3
080410002032010,3
080410002032011,3
080410002032012,3
080410002032013,3
080410002032014,3
080410002032015,3
080410002032016,3
080410002032017,3
080410002032018,3
080410002032019,3
080410002032020,3
080410002032021,3
080410002032022,3
080410002032023,3
080410002032024,3
080410002032025,3
080410002032026,3
080410002032027,3
080410002033000,3
080410002033001,3
080410002033002,3
080410002033003,3
080410002033004,3
080410002033005,3
080410002033006,3
080410002033015,3
080410003013000,3
080410003013001,3
080410003021000,3
080410003021001,3
080410003021002,3
080410003021003,3
080410003021004,3
080410003021005,3
080410003021006,3
080410003021007,3
080410003021008,3
080410003021009,3
080410003021010,3
080410003021011,3
080410003021012,3
080410003021013,3
080410003021014,3
080410003021015,3
080410003021016,3
080410003021017,3
080410003021018,3
080410003021019,3
080410003021020,3
080410003021021,3
080410003021022,3
080410003021023,3
080410003021024,3
080410003021025,3
080410003021026,3
080410003021027,3
080410003021028,3
080410003021029,3
080410003021030,3
080410003021031,3
080410003021032,3
080410003021033,3
080410003021034,3
080410003021035,3
080410003021036,3
080410003021037,3
080410003022000,3
080410003022001,3
080410003022002,3
080410003022003,3
080410003022004,3
080410003022005,3
080410003022006,3
080410003022007,3
080410003022008,3
080410003022009,3
080410003022010,3
080410003022011,3
080410003022012,3
080410003022013,3
080410003022014,3
080410003022015,3
080410003022016,3
080410003023000,5
080410003023001,5
080410003023002,5
080410003023003,5
080410003023004,5
080410003023005,5
080410003023006,5
080410003023007,5
080410003023008,5
080410003023009,5
080410003023010,5
080410003023011,5
080410003023012,5
080410003023013,5
080410003023014,5
080410003023015,5
080410003023016,5
080410003023017,5
080410003023018,5
080410003023019,5
080410037052027,5
080410037052028,5
080410037111005,5
080410037112000,5
080410037112030,5
080410077002020,5
080410077003014,5
080410077004014,5
080410078021005,5
080410078021006,5
080410004002006,3
080410004002007,3
080410004002008,3
080410004002009,3
080410004002010,3
080410004002011,3
080410004002012,3
080410004002013,3
080410004002014,3
080410004002015,3
080410004003000,3
080410004003001,3
080410004003002,3
080410004003003,3
080410004003004,3
080410004003005,3
080410004003006,3
080410004003007,3
080410004003008,3
080410004003009,3
080410004003010,3
080410004003011,3
080410004003012,3
080410004003013,3
080410004003014,3
080410004003015,3
080410004003016,3
080410004003017,3
080410004003018,3
080410004003019,3
080410004003020,3
080410004003021,3
080410004003022,3
080410004003023,3
080410004003024,3
080410004003025,3
080410004003026,3
080410004003027,3
080410004003028,3
080410004003029,3
080410004003030,3
080410004003031,3
080410004003032,3
080410004003033,3
080410004003034,3
080410004003035,3
080410004003036,3
080410004003037,3
080410004003038,3
080410004003039,3
080410004003040,3
080410004003041,3
080410003022017,3
080410080001000,3
080410079001000,3
080410079001001,3
080410079001014,3
080410079001015,3
080410079001016,3
080410079001017,3
080410079001018,3
080410079001019,3
080410079001020,3
080410080002000,3
080410080002001,3
080410080002002,3
080410080002003,3
080410080002004,3
080410080002005,3
080410080002006,3
080410080002007,3
080410080002008,3
080410080002009,3
080410080002010,3
080410080002011,3
080410080002012,3
080410080002013,3
080410080002014,3
080410080002015,3
080410080002016,3
080410037052000,3
080410037052001,3
080410037052002,3
080410037052003,3
080410037052004,3
080410037052005,3
080410037052006,3
080410037052007,3
080410037052008,3
080410037052009,3
080410037052010,3
080410037052011,3
080410037052012,3
